fm_id,RecordID,Title,language,d1,m1,y1,d2,m2,y2,format,publication_place_fk
2071,998409340101488,Physica et metaphysica.,Latin,0,0,1658,0,0,1659,210 x 160 mm.,2
2072,9983677380101488,Logica.,Latin,0,0,1743,0,0,1743,205 x 155 mm.,2
2073,9983680640101488,Physica,Latin,0,0,1728,0,0,1729,203 x 160 mm.,2
2074,9983684110101488,Physica,Latin,0,0,1728,0,0,1729,203 x 160 mm.,2
2075,9984692670101488,Dialectica.,Latin,0,0,1744,0,0,1744,210 x 165 mm.,2
2076,9984806480101488,Logica.,Latin,0,0,1668,0,0,1669,210 x 170 mm.,2
2077,9984809220101488,Metaphysica.,Latin,0,0,1669,0,0,1670,215 x 165 mm.,2
2078,9984813000101488,Physica.,Latin,0,0,1669,0,0,1669,210 x 165 mm.,2
2079,9984817940101488,Logica.,Latin,0,0,1643,0,0,1643,205 x 160 mm.,2
2080,9984825290101488,Physica.,Latin,0,0,1644,0,0,1644,195 x 155 mm.,2
2081,9984831760101488,Logica.,Latin,0,0,1655,0,0,1656,206 x 160 mm.,2
2082,9984875010101488,Dialectica.,Latin,0,0,1749,0,0,1749,210 x 160 mm.,2
2083,9984879010101488,Mechanica.,Latin,0,0,1793,0,0,1793,186 x 155 mm.,2
2084,9984882080101488,Physica.,Latin,0,0,1766,0,0,1766,200 x 160 mm.,2
2085,9984889740101488,Logica.,Latin,0,0,1666,0,0,1667,211 x 160 mm.,2
2086,9984909340101488,Annotata physicalia.,Latin,0,0,1644,0,0,1644,195 x 160 mm.,2
2087,9984913130101488,De logica et de sphæra.,Latin,0,0,1701,0,0,1797,208 x 165 mm.,2
2088,9984915010101488,Logica.,Latin,0,0,0,0,0,0,210 x 160 mm.,2
2089,9984952000101488,Tractatus de sponsalibus et matrimonio.,Latin,0,0,1771,0,0,1771,203 x 160 mm.,2
2090,9985204270101488,Physica,Latin,0,0,1771,0,0,1771,160 x 98 mm.,2
2091,9985275330101488,De actibus humanis & legibus.,Latin,0,0,1701,0,0,1797,181 x 145 mm.,2
2092,9985276830101488,Logica,Latin,0,0,1601,0,0,1700,168 x 110 mm.,2
2093,9985449980101488,Scripta theologica.,Latin,0,0,1629,0,0,1630,205 x 150 mm.,2
2094,9985450340101488,Scripta de sacramentis.,Latin,0,0,1613,0,0,1616,338 x 210 mm.,2
2095,9988171070101488,Physica.,Latin,0,0,1694,0,0,1695,210 x 165 mm.,2
2096,9988171170101488,Logica.,Latin,0,0,1693,0,0,1694,205 x 165 mm.,2
2097,9989636720101488,Physica.,Latin,0,0,1707,0,0,1708,215 x 165 mm.,2
2098,9989672710101488,Collectanea juridica sive Annotationes ad leges diversas.,Latin,0,0,1722,0,0,1727,193 x 125 mm.,2
2099,9990180740101488,Physica,Latin,0,0,1773,0,0,1774,190 x 120 mm.,2
2100,9991877070101488,Physica,Latin,0,0,1653,0,0,1653,215 x 165 mm.,2
2101,9992066370101488,Logica,Latin,0,0,1753,0,0,1754,205 x 160 mm.,2
2102,9992070040101488,Physica.,Latin,0,0,1754,0,0,1755,205 x 160 mm.,2
2103,9992075290101488,Physica,Latin,0,0,1754,0,0,1755,205 x 160 mm.,2
2104,9992112188001488,Logica. Metaphysica,Latin,0,0,1772,0,0,1772,205 x 165 mm.,2
