fm_id,RecordID,856_u,856_y,project
2071,998409340101488,https://resolver.libis.be/IE5741692/representation,KU Leuven Libraries BIBC BRES Ms. 328,16
2072,9983677380101488,https://resolver.libis.be/IE5402644/representation,KU Leuven Libraries GBIB GBIB PM0328,16
2073,9983680640101488,https://resolver.libis.be/IE5146094/representation,KU Leuven Libraries GBIB GBIB PM0325,16
2074,9983684110101488,https://resolver.libis.be/IE5127222/representation,KU Leuven Libraries GBIB GBIB PM0324,16
2075,9984692670101488,https://resolver.libis.be/IE5130368/representation,KU Leuven Libraries GBIB GBIB PM0334,16
2076,9984806480101488,https://resolver.libis.be/IE5045786/representation,Abdij van Berne Heeswijk Ms. O1,16
2077,9984809220101488,https://resolver.libis.be/IE5074686/representation,Abdij van Berne Heeswijk Ms. O2,16
2078,9984813000101488,https://resolver.libis.be/IE3580217/representation,Abdij van Berne Heeswijk Ms. K6,16
2079,9984817940101488,https://resolver.libis.be/IE5062854/representation,Abdij van Berne Heeswijk Ms. K1,16
2080,9984825290101488,https://resolver.libis.be/IE5076811/representation,Abdij van Berne Heeswijk Ms. R2,16
2081,9984831760101488,https://resolver.libis.be/IE5073011/representation,Abdij van Berne Heeswijk Ms. K8,16
2082,9984875010101488,https://resolver.libis.be/IE5071870/representation,Abdij van Berne Heeswijk Ms. 251,16
2083,9984879010101488,https://resolver.libis.be/IE3555662/representation,Abdij van Berne Heeswijk Ms. R11,16
2084,9984882080101488,https://resolver.libis.be/IE5068394/representation,Abdij van Berne Heeswijk Ms. K13,16
2085,9984889740101488,https://resolver.libis.be/IE5064739/representation,Abdij van Berne Heeswijk Ms. K14,16
2086,9984909340101488,https://resolver.libis.be/IE5056624/representation,Abdij van Berne Heeswijk Ms. M9,16
2087,9984913130101488,https://resolver.libis.be/IE5054670/representation,Abdij van Berne Heeswijk Ms. K12,16
2088,9984915010101488,https://resolver.libis.be/IE5048421/representation,Abdij van Berne Heeswijk Ms. K9,16
2089,9984952000101488,https://resolver.libis.be/IE5746366/representation,KU Leuven Libraries BIBC BRES Ms. 350,16
2090,9985204270101488,https://resolver.libis.be/IE5744754/representation,KU Leuven Libraries BIBC BRES Ms. 349,16
2091,9985275330101488,https://resolver.libis.be/IE5747126/representation,KU Leuven Libraries BIBC BRES Ms. 351,16
2092,9985276830101488,https://resolver.libis.be/IE5111751/representation,KU Leuven Libraries BIBC BRES Ms. 352,16
2093,9985449980101488,https://resolver.libis.be/IE5069877/representation,Abdij van Berne Heeswijk Ms. M5,16
2094,9985450340101488,https://resolver.libis.be/IE5052929/representation,Abdij van Berne Heeswijk Ms. F11,16
2095,9988171070101488,https://resolver.libis.be/IE5752018/representation,KU Leuven Libraries BIBC BRES Ms. 354,16
2096,9988171170101488,https://resolver.libis.be/IE5748294/representation,KU Leuven Libraries BIBC BRES Ms. 353,16
2097,9989636720101488,https://resolver.libis.be/IE5755700/representation,KU Leuven Libraries BIBC BRES Ms. 355,16
2098,9989672710101488,https://resolver.libis.be/IE5337894/representation,KU Leuven Libraries BIBC BRES Ms. 312,16
