geonames,long,lat,country,countryLabel,countryGeonames,placeLabel,wikidata,place_fm_id
2879139,12.375,51.34,http://www.wikidata.org/entity/Q183,Germany,2921044,Leipzig,Q2079,9096
2879137,12.375,51.34,http://www.wikidata.org/entity/Q183,Germany,2921044,Leipzig,Q2079,9097
6557738,8.916944444,50.132777777,http://www.wikidata.org/entity/Q183,Germany,2921044,Hanau,Q3802,9098
3035681,4.808333333,43.948611111,http://www.wikidata.org/entity/Q142,France,3017382,Avignon,Q6397,9099
6542113,10.220280555,45.538888888,http://www.wikidata.org/entity/Q38,Italy,3175395,Brescia,Q6221,9100
2761369,16.3725,48.208333333,http://www.wikidata.org/entity/Q40,Austria,2782113,Vienna,Q1741,9101
3014078,7.787777777,48.816666666,http://www.wikidata.org/entity/Q142,France,3017382,Haguenau,Q22730,9102
2895042,11.586388888,50.927222222,http://www.wikidata.org/entity/Q183,Germany,2921044,Jena,Q3150,9103
6540120,10.328,44.801472222,http://www.wikidata.org/entity/Q38,Italy,3175395,Parma,Q2683,9104
2975233,7.454166666,48.259444444,http://www.wikidata.org/entity/Q142,France,3017382,Sélestat,Q22737,9105
2971722,4.775,45.940833333,http://www.wikidata.org/entity/Q142,France,3017382,Trévoux,Q244565,9106
6556610,11.848333333,49.444444444,http://www.wikidata.org/entity/Q183,Germany,2921044,Amberg,Q7042,9107
6538612,12.6175,43.07,http://www.wikidata.org/entity/Q38,Italy,3175395,Assisi,Q20103,9108
6618295,4.364444444,48.956666666,http://www.wikidata.org/entity/Q142,France,3017382,Châlons-en-Champagne,Q47135,9109
3220962,8.65,49.866666666,http://www.wikidata.org/entity/Q183,Germany,2921044,Darmstadt,Q2973,9110
7284571,11.55,51.516666666,http://www.wikidata.org/entity/Q183,Germany,2921044,Lutherstadt Eisleben,Q484870,9111
6534067,2.816666666,41.983333333,http://www.wikidata.org/entity/Q29,Spain,2510769,Girona,Q7038,9112
6557785,8.306111111,50.6825,http://www.wikidata.org/entity/Q183,Germany,2921044,Herborn,Q18998,9113
2998286,1.261666666,45.834444444,http://www.wikidata.org/entity/Q142,France,3017382,Limoges,Q45656,9114
2267057,-9.139016,38.708042,http://www.wikidata.org/entity/Q45,Portugal,2264397,Lisbon,Q597,9115
2790472,4.866666666,50.466666666,http://www.wikidata.org/entity/Q31,Belgium,2802361,Namur,Q134121,9116
5128581,-74.0,40.7,http://www.wikidata.org/entity/Q30,United States of America,6252001,New York City,Q60,9117
6556832,11.0775,49.453888888,http://www.wikidata.org/entity/Q183,Germany,2921044,Nuremberg,Q2090,9118
3220975,8.766666666,50.1,http://www.wikidata.org/entity/Q183,Germany,2921044,Offenbach am Main,Q3042,9119
6542281,11.877777777,45.406388888,http://www.wikidata.org/entity/Q38,Italy,3175395,Padua,Q617,9120
3247433,7.083333333,51.166666666,http://www.wikidata.org/entity/Q183,Germany,2921044,Solingen,Q2942,9121
3247908,8.433615,49.3165553,http://www.wikidata.org/entity/Q183,Germany,2921044,Speyer,Q6829,9122
2764347,14.416666666,48.05,http://www.wikidata.org/entity/Q40,Austria,2782113,Steyr,Q260320,9123
3165525,7.676111111,45.079166666,http://www.wikidata.org/entity/Q38,Italy,3175395,Turin,Q495,9124
6541465,11.55,45.55,http://www.wikidata.org/entity/Q38,Italy,3175395,Vicenza,Q6537,9125
