fm_id,inst_fk
2071,19
2072,20
2073,17
2074,17
2075,20
2076,17
2077,17
2078,17
2079,16
2080,16
2081,18
2082,20
2083,18
2084,18
2085,18
2086,16
2087,20
2088,18
2089,20
2090,16
2091,20
2092,20
2093,0
2094,0
2095,17
2096,17
2097,19
2098,25
2099,18
2100,18
2101,16
2102,16
2103,16
2104,18
2105,16
2106,21
2107,19
2108,18
2109,23
2110,19
2111,21
2112,18
2113,18
2114,18
2115,20
2116,20
2117,19
2118,18
2119,18
2120,21
2121,19
2122,21
2123,17
2124,16
2125,24
2126,17
2127,17
2128,17
2129,16
2130,18
2131,19
2132,18
2133,17
2134,21
2135,20
2136,21
2137,19
2138,26
2139,18
2140,17
2141,19
2142,20
2143,18
2144,20
2145,25
2146,25
2147,16
2148,18
2149,18
2150,19
2151,18
2152,18
2153,18
2154,18
2155,18
2156,18
2157,18
2158,16
2159,19
2160,20
2161,26
2162,19
2163,22
2164,22
2165,16
2166,16
2167,16
2168,25
2169,25
2170,25
2171,18
2172,17
2173,0
2174,16
2175,18
2176,20
2177,16
2178,20
2179,16
2180,16
2181,19
2182,19
2183,19
2184,19
2185,19
2186,19
2187,19
2188,19
2189,19
2190,19
2191,19
2192,19
2193,19
2194,19
2195,19
2196,19
2197,17
2198,17
2199,17
2200,19
2201,17
2202,17
2203,17
2204,16
2205,19
2206,17
2207,16
2208,16
2209,16
2210,16
2211,16
2212,16
2213,16
2214,18
2215,18
2216,18
2217,18
2218,16
2219,18
2220,18
2221,16
2222,18
2223,18
2224,18
2225,18
2226,18
2227,18
2228,18
2229,18
2230,18
2231,18
2232,18
2233,18
2234,18
2235,18
2236,18
2237,18
2238,18
2239,19
2240,21
2241,18
2242,20
2243,20
2244,20
2245,20
2246,20
2247,20
2248,20
2249,20
2250,20
2251,20
2252,20
2253,16
2254,20
2255,20
2256,18
2257,16
2258,23
2259,20
2260,20
2261,20
2262,20
2263,20
2264,21
2265,19
2266,18
2267,17
2268,17
2269,20
2270,16
2271,25
2272,19
2273,18
2274,19
2275,22
2276,20
2277,20
2278,20
2279,20
2280,20
2281,20
2282,20
2283,20
2284,20
2285,17
2286,20
2287,19
2288,20
2289,25
2290,22
2291,22
2292,22
2293,25
2294,18
2295,16
2296,17
2297,16
2298,16
2299,16
2300,16
2301,17
2302,20
2303,20
2304,17
2305,19
2306,17
2307,17
2308,21
2309,21
2310,16
2311,26
2312,22
