fm_id,RecordID,Title,alt_title,language,d1,m1,y1,d2,m2,y2,format,publication_place_fk
2071,998409340101488,Physica et metaphysica.,0,Latin,0,0,1658,0,0,1659,210 x 160 mm.,2
2072,9983677380101488,Logica.,0,Latin,0,0,1743,0,0,1743,205 x 155 mm.,2
2073,9983680640101488,Physica,"Physica speculativa/Physicæ speculativæ pars secunda/Phijsice speculative pars 2da continens Tractatum De Motu dictatum ab eruditissimo D:D: Henrico van Gameren item tractatum De Visu Dictatum a Doctissimo D:D: Laurentio De Smet Scriptos â me philippo josepho van Ghindertaelen in florentissimo pedagogio Castrensi anno 1728/Phijsice speculative pars [secun]da continens Tractatum De motu dictatum ab eruditissimo D[omino]D[omino] Henrico van Gameren, item Tractatum De visu dictatum a doctissimo D[omino] D[omino] Laurentio De Smet.  Scriptos a me Philippo Josepho van Ghindertaelen in florentissimo pedagogio Castrensi anno 1728/Materia examinis De visu dictata a doctissimo DD: Desmedt venerande facultatis Artium decano Ac Professore Primario Celeberimi Pedagogii Castri Bruxellensi Scripta vero â me Philippo osepho Van Ghindertaelen Bruxellensi anno 1729/Materia examinis De visu dictata a doctissimo D[omino] D[omino] Desmedt venerande facultatis Artium decano ac professore primario celeberimi pedagogii Castri Bruxellensi .Scripta vero a me Philippo Josepho Van Ghindertaelen Bruxellensi anno 1729",Latin,0,0,1728,0,0,1729,203 x 160 mm.,2
2074,9983684110101488,Physica,Phisicæ pars secunda/Physica pars secunda/Phisicæ pars secunda dictata ab eruditissmo D: D: Henrico Vangameren ex Saventhem Scripta vero â me Philippo Josepho van Ghindertaelen Bruxellensi. Lovanii anno 1728. in florentissimo pedagogio Castrensi/Physicae pars secunda dictata ab eruditissmo D[omino] D[omino] Henrico Vangameren ex Saventhem. Scripta vero a me Philippo Josepho van Ghindertaelen Bruxellensi. Lovanii anno 1728. in florentissimo pedagogio Castrensi,Latin,0,0,1728,0,0,1729,203 x 160 mm.,2
2075,9984692670101488,Dialectica.,Dialectica sive ad logicam manuductio,Latin,0,0,1744,0,0,1744,210 x 165 mm.,2
2076,9984806480101488,Logica.,Annotata cum dictatis in universam logicam sub D: D: Sebastiano Thibaudt S:T:L: phijlosophiæ professore primario scripta in pædagogio Castri 1669 pars i:,Latin,0,0,1668,0,0,1669,210 x 170 mm.,2
2077,9984809220101488,Metaphysica.,Metaphijsica scripta sub Doctissimo Domino D[omi]no Sebastiano Thibaut philosophiæ professore primario in pedagogio Castri per Martinum Hermannum Veirdonck anno 1669. Pars Prima,Latin,0,0,1669,0,0,1670,215 x 165 mm.,2
2078,9984813000101488,Physica.,Universa Aristotelis physica/Universa Ar[istotel]is phijsica scripta sub Doctissimo Domino Do[min]o Sebastiano Thibaut S:T:L: et professore primario in pædagogio Castri per Martinum Hermannum Veirdonck. Anno 1669. Pars i,Latin,0,0,1669,0,0,1669,210 x 165 mm.,2
2079,9984817940101488,Logica.,Dictata magis principalia in universam Logicam quæ sub Doctissimo Domino D Henrico Werpen STBF. Professore primario inflorentissimo Falconis pædagogio calamosuo excepit f[rater]. Augustinus Ketelers Eccl[esiae] Bernensis Canonicus Anno 1643,Latin,0,0,1643,0,0,1643,205 x 160 mm.,2
2080,9984825290101488,Physica.,Dictata in octo libros physicorvm sub doctissimo dno Henrico Werpen S:T:B:F et professore primario Pædagogy falconensis scripta a fratre August: Ketelers R.Bern. A°.1.6.4.4/Dictata in octo libros physicorum sub doctissimo d[omi]no Henrico Werpen S:T:B:F et professore primario Paedagogy falconensis scripta a fratre August: Ketelers R.Bern. A°.1.6.4.4,Latin,0,0,1644,0,0,1644,195 x 155 mm.,2
