places_fk,name,value,project_fk
9124,geonames_link,https://www.geonames.org/2879139,7
9124,wikidata_link,http://www.wikidata.org/entity/Q2079,21
9125,geonames_link,https://www.geonames.org/6557738,7
9125,wikidata_link,http://www.wikidata.org/entity/Q3802,21
9126,geonames_link,https://www.geonames.org/3035681,7
9126,wikidata_link,http://www.wikidata.org/entity/Q6397,21
9127,geonames_link,https://www.geonames.org/6542113,7
9127,wikidata_link,http://www.wikidata.org/entity/Q6221,21
9128,geonames_link,https://www.geonames.org/2761369,7
9128,wikidata_link,http://www.wikidata.org/entity/Q1741,21
9129,geonames_link,https://www.geonames.org/3014078,7
9129,wikidata_link,http://www.wikidata.org/entity/Q22730,21
9130,geonames_link,https://www.geonames.org/2895042,7
9130,wikidata_link,http://www.wikidata.org/entity/Q3150,21
9131,geonames_link,https://www.geonames.org/6540120,7
9131,wikidata_link,http://www.wikidata.org/entity/Q2683,21
9132,geonames_link,https://www.geonames.org/2975233,7
9132,wikidata_link,http://www.wikidata.org/entity/Q22737,21
9133,geonames_link,https://www.geonames.org/2971722,7
9133,wikidata_link,http://www.wikidata.org/entity/Q244565,21
9134,geonames_link,https://www.geonames.org/6556610,7
9134,wikidata_link,http://www.wikidata.org/entity/Q7042,21
9135,geonames_link,https://www.geonames.org/6538612,7
9135,wikidata_link,http://www.wikidata.org/entity/Q20103,21
9136,geonames_link,https://www.geonames.org/6618295,7
9136,wikidata_link,http://www.wikidata.org/entity/Q47135,21
9137,geonames_link,https://www.geonames.org/3220962,7
9137,wikidata_link,http://www.wikidata.org/entity/Q2973,21
9138,geonames_link,https://www.geonames.org/7284571,7
9138,wikidata_link,http://www.wikidata.org/entity/Q484870,21
9139,geonames_link,https://www.geonames.org/6534067,7
9139,wikidata_link,http://www.wikidata.org/entity/Q7038,21
9140,geonames_link,https://www.geonames.org/6557785,7
9140,wikidata_link,http://www.wikidata.org/entity/Q18998,21
9141,geonames_link,https://www.geonames.org/2998286,7
9141,wikidata_link,http://www.wikidata.org/entity/Q45656,21
9142,geonames_link,https://www.geonames.org/2267057,7
9142,wikidata_link,http://www.wikidata.org/entity/Q597,21
9143,geonames_link,https://www.geonames.org/2790472,7
9143,wikidata_link,http://www.wikidata.org/entity/Q134121,21
9144,geonames_link,https://www.geonames.org/5128581,7
9144,wikidata_link,http://www.wikidata.org/entity/Q60,21
9145,geonames_link,https://www.geonames.org/6556832,7
9145,wikidata_link,http://www.wikidata.org/entity/Q2090,21
9146,geonames_link,https://www.geonames.org/3220975,7
9146,wikidata_link,http://www.wikidata.org/entity/Q3042,21
9147,geonames_link,https://www.geonames.org/6542281,7
9147,wikidata_link,http://www.wikidata.org/entity/Q617,21
9148,geonames_link,https://www.geonames.org/3247433,7
9148,wikidata_link,http://www.wikidata.org/entity/Q2942,21
9149,geonames_link,https://www.geonames.org/3247908,7
9149,wikidata_link,http://www.wikidata.org/entity/Q6829,21
9150,geonames_link,https://www.geonames.org/2764347,7
9150,wikidata_link,http://www.wikidata.org/entity/Q260320,21
9151,geonames_link,https://www.geonames.org/3165525,7
9151,wikidata_link,http://www.wikidata.org/entity/Q495,21
9152,geonames_link,https://www.geonames.org/6541465,7
9152,wikidata_link,http://www.wikidata.org/entity/Q6537,21
