source_id,link,project_id,import
2071,https://lovaniensia.be/items/show/4846,2,Imported from 20230728_Omeka_Lovaniensia.csv
2072,https://lovaniensia.be/items/show/4843,2,Imported from 20230728_Omeka_Lovaniensia.csv
2073,https://lovaniensia.be/items/show/4840,2,Imported from 20230728_Omeka_Lovaniensia.csv
2074,https://lovaniensia.be/items/show/4837,2,Imported from 20230728_Omeka_Lovaniensia.csv
2075,https://lovaniensia.be/items/show/4834,2,Imported from 20230728_Omeka_Lovaniensia.csv
2076,https://lovaniensia.be/items/show/4831,2,Imported from 20230728_Omeka_Lovaniensia.csv
2077,https://lovaniensia.be/items/show/4828,2,Imported from 20230728_Omeka_Lovaniensia.csv
2078,https://lovaniensia.be/items/show/4825,2,Imported from 20230728_Omeka_Lovaniensia.csv
2079,https://lovaniensia.be/items/show/4822,2,Imported from 20230728_Omeka_Lovaniensia.csv
2080,https://lovaniensia.be/items/show/4819,2,Imported from 20230728_Omeka_Lovaniensia.csv
2081,https://lovaniensia.be/items/show/4818,2,Imported from 20230728_Omeka_Lovaniensia.csv
2082,https://lovaniensia.be/items/show/4815,2,Imported from 20230728_Omeka_Lovaniensia.csv
2083,https://lovaniensia.be/items/show/4812,2,Imported from 20230728_Omeka_Lovaniensia.csv
2084,https://lovaniensia.be/items/show/4809,2,Imported from 20230728_Omeka_Lovaniensia.csv
2085,https://lovaniensia.be/items/show/4806,2,Imported from 20230728_Omeka_Lovaniensia.csv
2086,https://lovaniensia.be/items/show/4803,2,Imported from 20230728_Omeka_Lovaniensia.csv
2087,https://lovaniensia.be/items/show/4800,2,Imported from 20230728_Omeka_Lovaniensia.csv
2088,https://lovaniensia.be/items/show/4797,2,Imported from 20230728_Omeka_Lovaniensia.csv
2089,https://lovaniensia.be/items/show/4794,2,Imported from 20230728_Omeka_Lovaniensia.csv
2090,https://lovaniensia.be/items/show/4791,2,Imported from 20230728_Omeka_Lovaniensia.csv
2091,https://lovaniensia.be/items/show/4788,2,Imported from 20230728_Omeka_Lovaniensia.csv
2092,https://lovaniensia.be/items/show/4785,2,Imported from 20230728_Omeka_Lovaniensia.csv
2093,https://lovaniensia.be/items/show/4782,2,Imported from 20230728_Omeka_Lovaniensia.csv
2094,https://lovaniensia.be/items/show/4779,2,Imported from 20230728_Omeka_Lovaniensia.csv
2095,https://lovaniensia.be/items/show/4776,2,Imported from 20230728_Omeka_Lovaniensia.csv
2096,https://lovaniensia.be/items/show/4773,2,Imported from 20230728_Omeka_Lovaniensia.csv
2097,https://lovaniensia.be/items/show/4770,2,Imported from 20230728_Omeka_Lovaniensia.csv
2098,https://lovaniensia.be/items/show/4767,2,Imported from 20230728_Omeka_Lovaniensia.csv
2099,https://lovaniensia.be/items/show/4764,2,Imported from 20230728_Omeka_Lovaniensia.csv
2100,https://lovaniensia.be/items/show/4761,2,Imported from 20230728_Omeka_Lovaniensia.csv
2101,https://lovaniensia.be/items/show/4758,2,Imported from 20230728_Omeka_Lovaniensia.csv
2102,https://lovaniensia.be/items/show/4755,2,Imported from 20230728_Omeka_Lovaniensia.csv
2103,https://lovaniensia.be/items/show/4749,2,Imported from 20230728_Omeka_Lovaniensia.csv
2104,https://lovaniensia.be/items/show/4746,2,Imported from 20230728_Omeka_Lovaniensia.csv
2105,https://lovaniensia.be/items/show/4743,2,Imported from 20230728_Omeka_Lovaniensia.csv
2106,https://lovaniensia.be/items/show/4740,2,Imported from 20230728_Omeka_Lovaniensia.csv
2107,https://lovaniensia.be/items/show/4737,2,Imported from 20230728_Omeka_Lovaniensia.csv
2108,https://lovaniensia.be/items/show/4734,2,Imported from 20230728_Omeka_Lovaniensia.csv
