place_fm_id,name,value,project_fk
9153,geonames,https://www.geonames.org/2973783,7
9153,wikidata,https://www.wikidata.org/wiki/Q6602,16
9154,geonames,https://www.geonames.org/2879139,7
9154,wikidata,https://www.wikidata.org/wiki/Q2079,16
9155,geonames,https://www.geonames.org/6557378,7
9155,wikidata,https://www.wikidata.org/wiki/Q486562,16
9156,geonames,https://www.geonames.org/2795101,7
9156,wikidata,https://www.wikidata.org/wiki/Q102728,16
9157,geonames,https://www.geonames.org/3035681,7
9157,wikidata,https://www.wikidata.org/wiki/Q6397,16
9158,geonames,https://www.geonames.org/2998286,7
9158,wikidata,https://www.wikidata.org/wiki/Q45656,16
9159,geonames,https://www.geonames.org/6556832,7
9159,wikidata,https://www.wikidata.org/wiki/Q2090,16
9160,geonames,https://www.geonames.org/6540120,7
9160,wikidata,https://www.wikidata.org/wiki/Q2683,16
9161,geonames,https://www.geonames.org/2747351,7
9161,wikidata,https://www.wikidata.org/wiki/Q2766547,16
9162,geonames,https://www.geonames.org/2971722,7
9162,wikidata,https://www.wikidata.org/wiki/Q244565,16
9163,geonames,https://www.geonames.org/3165525,7
9163,wikidata,https://www.wikidata.org/wiki/Q495,16
9164,geonames,https://www.geonames.org/6542113,7
9164,wikidata,https://www.wikidata.org/wiki/Q6221,16
9165,geonames,https://www.geonames.org/2653941,7
9165,wikidata,https://www.wikidata.org/wiki/Q350,16
9166,geonames,https://www.geonames.org/6557785,7
9166,wikidata,https://www.wikidata.org/wiki/Q18998,16
9167,geonames,https://www.geonames.org/5128581,7
9167,wikidata,https://www.wikidata.org/wiki/Q60,16
9168,geonames,https://www.geonames.org/6559169,7
9168,wikidata,https://www.wikidata.org/wiki/Q3806,16
9169,geonames,https://www.geonames.org/6541865,7
9169,wikidata,https://www.wikidata.org/wiki/Q2028,16
9170,geonames,https://www.geonames.org/2907911,7
9170,wikidata,https://www.wikidata.org/wiki/Q2966,16
9171,geonames,https://www.geonames.org/3031582,7
9171,wikidata,https://www.wikidata.org/wiki/Q1479,16
9172,geonames,https://www.geonames.org/6452134,7
9172,wikidata,https://www.wikidata.org/wiki/Q47465,16
9173,geonames,https://www.geonames.org/6538252,7
9173,wikidata,https://www.wikidata.org/wiki/Q47094,16
9174,geonames,https://www.geonames.org/6542116,7
9174,wikidata,https://www.wikidata.org/wiki/Q628,16
9175,geonames,https://www.geonames.org/6541998,7
9175,wikidata,https://www.wikidata.org/wiki/Q1891,16
9176,geonames,https://www.geonames.org/6536785,7
9176,wikidata,https://www.wikidata.org/wiki/Q73489,16
9177,geonames,https://www.geonames.org/6618295,7
9177,wikidata,https://www.wikidata.org/wiki/Q47135,16
9178,geonames,https://www.geonames.org/8010483,7
9178,wikidata,https://www.wikidata.org/wiki/Q45412,16
9179,geonames,https://www.geonames.org/3220962,7
9179,wikidata,https://www.wikidata.org/wiki/Q2973,16
9180,geonames,https://www.geonames.org/2267057,7
9180,wikidata,https://www.wikidata.org/wiki/Q597,16
9181,geonames,https://www.geonames.org/3009443,7
9181,wikidata,https://www.wikidata.org/wiki/Q343,16
9182,geonames,https://www.geonames.org/2925535,7
9182,wikidata,https://www.wikidata.org/wiki/Q4024,16
9183,geonames,https://www.geonames.org/7285870,7
9183,wikidata,https://www.wikidata.org/wiki/Q36378,16
9184,geonames,https://www.geonames.org/2925177,7
9184,wikidata,https://www.wikidata.org/wiki/Q2833,16
9185,geonames,https://www.geonames.org/7284571,7
9185,wikidata,https://www.wikidata.org/wiki/Q484870,16
9186,geonames,https://www.geonames.org/3067696,7
9186,wikidata,https://www.wikidata.org/wiki/Q1085,16
9187,geonames,https://www.geonames.org/6534067,7
9187,wikidata,https://www.wikidata.org/wiki/Q7038,16
9188,geonames,https://www.geonames.org/2997456,7
9188,wikidata,https://www.wikidata.org/wiki/Q35719815,16
9189,geonames,https://www.geonames.org/6557373,7
9189,wikidata,https://www.wikidata.org/wiki/Q3033,16
9190,geonames,https://www.geonames.org/6556313,7
9190,wikidata,https://www.wikidata.org/wiki/Q220090,16
9191,geonames,https://www.geonames.org/355952,7
9191,wikidata,https://www.wikidata.org/wiki/Q732908,16
9192,geonames,https://www.geonames.org/6558887,7
9192,wikidata,https://www.wikidata.org/wiki/Q16145,16
9193,geonames,https://www.geonames.org/2895042,7
9193,wikidata,https://www.wikidata.org/wiki/Q3150,16
9194,geonames,https://www.geonames.org/6557930,7
9194,wikidata,https://www.wikidata.org/wiki/Q518690,16
9195,geonames,https://www.geonames.org/6538612,7
9195,wikidata,https://www.wikidata.org/wiki/Q20103,16
9196,geonames,https://www.geonames.org/3247908,7
9196,wikidata,https://www.wikidata.org/wiki/Q6829,16
9197,geonames,https://www.geonames.org/6556450,7
9197,wikidata,https://www.wikidata.org/wiki/Q3974,16
9198,geonames,https://www.geonames.org/2642743,7
9198,wikidata,https://www.wikidata.org/wiki/Q602055,16
9199,geonames,https://www.geonames.org/2790472,7
9199,wikidata,https://www.wikidata.org/wiki/Q134121,16
9200,geonames,https://www.geonames.org/5101717,7
9200,wikidata,https://www.wikidata.org/wiki/Q138338,16
9201,geonames,https://www.geonames.org/2750187,7
9201,wikidata,https://www.wikidata.org/wiki/Q33467336,16
9202,geonames,https://www.geonames.org/3090436,7
9202,wikidata,https://www.wikidata.org/wiki/Q815721,16
9203,geonames,https://www.geonames.org/3220975,7
9203,wikidata,https://www.wikidata.org/wiki/Q3042,16
9204,geonames,https://www.geonames.org/3247433,7
9204,wikidata,https://www.wikidata.org/wiki/Q2942,16
9205,geonames,https://www.geonames.org/6360513,7
9205,wikidata,https://www.wikidata.org/wiki/Q15695,16
9206,geonames,https://www.geonames.org/2785341,7
9206,wikidata,https://www.wikidata.org/wiki/Q173219,16
9207,geonames,https://www.geonames.org/2210247,7
9207,wikidata,https://www.wikidata.org/wiki/Q3579,16
9208,geonames,https://www.geonames.org/2972214,7
9208,wikidata,https://www.wikidata.org/wiki/Q213155,16
9209,geonames,https://www.geonames.org/6541465,7
9209,wikidata,https://www.wikidata.org/wiki/Q6537,16
9210,geonames,https://www.geonames.org/6541472,7
9210,wikidata,https://www.wikidata.org/wiki/Q2759,16
9211,geonames,https://www.geonames.org/712441,7
9211,wikidata,https://www.wikidata.org/wiki/Q158799,16
9212,geonames,https://www.geonames.org/2778058,7
9212,wikidata,https://www.wikidata.org/wiki/Q13298,16
9213,geonames,https://www.geonames.org/3057124,7
9213,wikidata,https://www.wikidata.org/wiki/Q26175,16
