place_fm_id,long,lat,placeLabel,countryLabel,wikidata,intNotes,import
9203,7.752222222,48.573333333,Strasbourg,France,Q6602,Country: France,Imported from 20230728_Alma_Caa_all.xml
9204,17.586211111,48.37775,Trnava,Slovakia,Q26175,Country: Slovakia,Imported from 20230728_Alma_Caa_all.xml
9205,5.445555555,43.527777777,Aix-en-Provence,France,Q47465,Country: France,Imported from 20230728_Alma_Caa_all.xml
9206,11.734166666,45.766666666,Bassano del Grappa,Italy,Q47094,Country: Italy,Imported from 20230728_Alma_Caa_all.xml
9207,9.67,45.695,Bergamo,Italy,Q628,Country: Italy,Imported from 20230728_Alma_Caa_all.xml
9208,11.342777777,44.493888888,Bologna,Italy,Q1891,Country: Italy,Imported from 20230728_Alma_Caa_all.xml
9209,0.1225,52.208055555,Cambridge,United Kingdom,Q350,Country: United Kingdom,Imported from 20230728_Alma_Caa_all.xml
9210,-8.428888888,40.211111111,Coimbra,Portugal,Q45412,Country: Portugal,Imported from 20230728_Alma_Caa_all.xml
9211,-0.076111111,47.699722222,La Flèche,France,Q343,Country: France,Imported from 20230728_Alma_Caa_all.xml
9212,14.551666666,52.342083333,Frankfurt (Oder),Germany,Q4024,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9213,7.15,46.8,Fribourg,Switzerland,Q36378,Country: Switzerland,Imported from 20230728_Alma_Caa_all.xml
9214,9.055555555,48.52,Tübingen,Germany,Q3806,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9215,-0.154444444,47.995833333,Loué,France,Q35719815,Country: France,Imported from 20230728_Alma_Caa_all.xml
9216,9.935555555,51.533888888,Göttingen,Germany,Q3033,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9217,11.531694444,48.048305555,Grünwald,Germany,Q220090,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9218,11.010555555,52.228055555,Helmstedt,Germany,Q486562,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9219,9.706666666,50.868333333,Bad Hersfeld,Germany,Q16145,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9220,12.806119444,43.688955555,Fossombrone,Italy,Q190646,Country: Italy,Imported from 20230728_Alma_Caa_all.xml
9221,8.360277777,49.855555555,Oppenheim,Germany,Q518690,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9222,2.885,50.850833333,Ypres,Belgium,Q102728,Country: Belgium,Imported from 20230728_Alma_Caa_all.xml
9223,12.150833333,48.539722222,Landshut,Germany,Q3974,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9224,-1.7344,53.8912,Menston,United Kingdom,Q602055,Country: United Kingdom,Imported from 20230728_Alma_Caa_all.xml
9225,-74.444444444,40.486666666,New Brunswick,United States of America,Q138338,Country: United States of America,Imported from 20230728_Alma_Caa_all.xml
9226,4.77639,52.15083,Nieuwkoop,Netherlands,Q33467336,Country: Netherlands,Imported from 20230728_Alma_Caa_all.xml
9227,10.252222222,51.728611111,Osterode am Harz,Germany,Q327727,Country: Germany,Imported from 20230728_Alma_Caa_all.xml
9228,-5.664166666,40.965,Salamanca,Spain,Q15695,Country: Spain,Imported from 20230728_Alma_Caa_all.xml
9229,3.388055555,50.605555555,Tournai,Belgium,Q173219,Country: Belgium,Imported from 20230728_Alma_Caa_all.xml
9230,4.832777777,45.067222222,Tournon-sur-Rhône,France,Q213155,Country: France,Imported from 20230728_Alma_Caa_all.xml
9231,28.6,49.891944444,Berdychiv,Ukraine,Q158799,Country: Ukraine,Imported from 20230728_Alma_Caa_all.xml
