fm_id,language
4147,French
4148,French
4149,Dutch
4150,French
4151,French
4152,French
4153,French
4154,French
4155,French
4157,Latin
4158,Latin
4159,Latin
4160,Dutch
4161,Latin
4162,Latin
4163,Latin
4164,French;Latin
4165,Dutch
4166,Latin
4167,Latin;Dutch
4168,Latin
4169,Latin
4170,French;Latin
4171,Latin
4172,Latin
4173,Latin
4174,Latin
4176,French;Latin
4177,French
4178,Latin
4179,Latin
4180,Dutch;Latin
4181,German
4182,Dutch;Latin;French
4183,Latin
4184,Dutch
4185,Latin
4186,Latin
4187,Latin
4188,Latin
4189,Latin
4190,Latin
4191,Latin
4192,Latin
4193,English
4194,French;Dutch
4195,Latin
4196,Latin
4197,Latin
4198,Latin
4199,Latin
4200,Latin
4201,Latin
4204,Latin
4205,Latin;Ancient Greek
4208,Latin
4210,Latin
4211,Latin
4212,Latin
4213,Latin
4214,Latin
4216,Latin
4217,French
4218,Latin
4219,Latin
4220,Latin
4221,Latin
4222,Latin
4223,Latin
4224,Latin
4225,Latin
4226,Latin
4227,Latin
4228,Latin
4229,Latin
4230,Latin
4231,Latin
4232,German
4233,Latin
4234,German
4235,Latin
4236,Dutch
4237,Latin
4238,French;Latin
4239,French
4240,Latin
4241,French
4242,Latin
4243,Latin
4244,French
4245,Latin
4246,Latin
4247,Latin
4248,French
4249,Latin
4250,Latin
4251,French
4252,Latin
4253,Latin
4254,Latin
4255,Latin
4256,Latin
4257,Latin
4258,Latin
4259,Latin
4260,Latin;French
4261,Latin
4262,Latin
4263,Dutch
4264,French
4265,Latin
4266,Latin
4267,Latin
4268,Latin
4269,Latin
4270,Latin
4271,Latin;Italian
4272,Latin
4273,Latin
4274,Latin
4275,Latin
4276,Latin
4277,Latin
4278,Latin
4279,Latin
4280,Dutch
4281,Latin
4282,French
4283,Latin
4284,French
4285,French
4286,Latin
4287,Dutch
4288,Latin
4289,Latin
4290,Latin
4291,Latin
4292,Latin
4293,Latin
4294,Latin
4295,Dutch
4296,Latin
4297,Latin
4298,Latin
4299,Latin
4300,Latin
4302,German;Latin
4303,Latin
4304,Latin
4305,Latin
4306,Latin
4307,French
4308,Latin;Ancient Greek
4309,Latin
4310,Ancient Greek
4311,Latin
4312,Latin
4313,Latin
4314,Latin
4315,French
4316,Latin
4317,Latin
4318,Latin
4319,Latin
4320,Latin
4321,Latin
4322,French
4323,French
4324,Spanish
4325,Dutch;Latin
4326,Latin
4327,Latin
4328,Latin
4329,Dutch;Latin
4330,Latin
4331,Latin
4332,Latin
4333,Latin
4334,Latin
4335,Latin
4336,Latin
4337,Latin
4338,Latin
4339,Latin
4340,French;Latin
4342,Latin
4343,Latin
4344,Latin
4345,Latin
4346,Dutch;French
4347,Latin
4348,Latin
4350,Latin
4351,Latin
4352,Latin
4353,Latin
4354,Latin
4355,Latin
4356,French
4357,Dutch
4358,Latin;Dutch;Hebrew;Ancient Greek
4359,Latin
4360,Latin
4361,Latin;Ancient Greek
4362,Latin
4363,Latin
4364,Dutch;French
4365,Dutch
4366,Latin
4367,Latin
4372,Latin
4373,Latin
4374,French
4375,Latin;French;Latin
4376,French
4378,Latin
4379,English
4380,Dutch
4381,Latin
4383,Dutch
4384,Latin
4385,Latin
4386,Latin
4387,Latin
4388,Latin
4390,Dutch
4391,Latin
4392,Latin
4393,Latin
4394,Latin
4395,Latin
4396,Latin
4397,Latin
4398,Latin
4399,Latin
4400,Latin
4401,French
4402,French
4403,Latin
4404,Latin
4405,Latin
4406,French
4407,Latin
4408,Latin
4409,Latin
4410,Latin
4411,Latin
4412,Latin
4413,Latin
4417,Latin
4418,Latin
4420,Latin
4421,Latin
4423,Latin
4424,Latin
4425,Latin
4426,Dutch
4427,Latin
4428,Latin
4429,English
4430,Latin
4431,Latin
4432,Latin
4433,Dutch;French;Latin;Spanish
4434,Latin
4435,Latin;Ancient Greek
4436,Latin
4437,Latin
4438,Latin
4439,Latin
4440,Dutch
4441,Latin
4442,French
4443,Latin
4444,Latin
4445,Latin
4447,Latin
4448,Latin
4449,Latin
4450,Latin
4451,Dutch;Latin;German;French;Spanish;Italian
4452,Latin
4453,Latin
4454,Latin
4455,French
4456,French
4457,French
4458,Latin
4459,Latin
4460,Latin
4461,Latin
4462,Latin
4463,Latin
4464,Latin
4465,Latin
4466,Latin
4467,French
4468,Latin
4469,Latin
4470,French
4471,French
4472,Latin
4473,Dutch
4474,Latin
4475,Latin
4476,Latin
4477,Latin
4478,French;Latin
4479,Modern Greek;Latin
4480,Latin
4481,Latin
4482,Latin
4483,Latin
4484,French
4485,Latin
4486,Latin
4487,Latin
4488,Latin
4489,Latin
4490,Latin
4491,Latin
4492,Latin
4493,Latin
4494,Latin
4495,Latin
4496,Latin
4497,Latin
4498,Latin
4499,Latin
4500,Latin
4501,Latin;Italian;Latin
4502,Latin;Ancient Greek
4503,Latin
4504,Latin
4505,Latin
4506,Latin
4507,Latin
4508,Latin
4509,Latin
4510,Modern Greek;Latin
4511,Latin
4512,Latin
4513,Latin
4514,Latin
4515,Latin
4516,Latin
4517,Dutch
4518,Latin
4519,Latin
4520,Latin
4521,Latin
4522,Latin
4523,Latin
4524,Dutch
4525,Latin
4526,Latin
4527,French
4528,Latin
4529,Latin
4530,Latin
4531,Latin
4532,Latin
4533,Latin;Ancient Greek
4534,Latin
4535,Latin
4536,Latin;Ancient Greek
4537,Latin
4538,Latin
4539,Latin
4540,Latin
4541,Latin
4542,Dutch
4543,Dutch
4544,Dutch;French
4545,Latin
4546,Latin
4547,Latin
4548,Latin
4549,Latin
4550,Latin
4552,Latin
4553,Latin
4554,Latin
4556,Latin
4557,Latin
4558,Dutch;Latin
4559,Latin
4560,Latin
4561,Latin
4562,Latin
4563,French
4564,Latin
4566,Latin
4567,Latin
4568,Latin
4569,Dutch
4570,Latin
4571,Latin;French
4572,Latin
4573,Latin
4574,French
4575,French
4576,Latin
4577,Latin
4578,Latin
4579,Latin
4580,Latin
4581,Latin
4582,Latin
4583,Latin
4584,Latin
4585,Latin
4586,Latin
4587,Latin
4588,Latin
4589,Latin
4590,Latin
4591,Latin
4592,Latin;Ancient Greek
4593,Latin
4594,Latin
4595,French
4596,Dutch
4597,Latin
4598,Latin
4599,Latin
4600,Latin
4601,Latin
4602,Latin
4603,Latin
4604,Latin
4605,Dutch;Latin
4606,Latin
4607,Latin
4608,Latin
4609,Latin
4610,Latin
4611,Latin
4612,Latin
4613,Latin
4614,Latin
4615,Latin
4616,Latin
4617,Dutch
4618,Latin
4619,Latin
4620,Latin
4622,Dutch
4623,Latin
4624,Spanish
4625,Spanish;Latin
4626,Latin
4627,Latin
4628,French
4629,Latin
4630,French;Latin
4631,Latin
4632,Latin
4633,Ancient Greek
4634,French
4635,Latin
4636,English
4637,Latin
