place_fm_id,name,value,project_fk,import
9203,geonames,https://www.geonames.org/2973783,7,Imported from 20230728_Alma_Caa_all.xml
9203,wikidata,https://www.wikidata.org/wiki/Q6602,21,Imported from 20230728_Alma_Caa_all.xml
9204,geonames,https://www.geonames.org/3057124,7,Imported from 20230728_Alma_Caa_all.xml
9204,wikidata,https://www.wikidata.org/wiki/Q26175,21,Imported from 20230728_Alma_Caa_all.xml
9205,geonames,https://www.geonames.org/6452134,7,Imported from 20230728_Alma_Caa_all.xml
9205,wikidata,https://www.wikidata.org/wiki/Q47465,21,Imported from 20230728_Alma_Caa_all.xml
9206,geonames,https://www.geonames.org/6538252,7,Imported from 20230728_Alma_Caa_all.xml
9206,wikidata,https://www.wikidata.org/wiki/Q47094,21,Imported from 20230728_Alma_Caa_all.xml
9207,geonames,https://www.geonames.org/6542116,7,Imported from 20230728_Alma_Caa_all.xml
9207,wikidata,https://www.wikidata.org/wiki/Q628,21,Imported from 20230728_Alma_Caa_all.xml
9208,geonames,https://www.geonames.org/6541998,7,Imported from 20230728_Alma_Caa_all.xml
9208,wikidata,https://www.wikidata.org/wiki/Q1891,21,Imported from 20230728_Alma_Caa_all.xml
9209,geonames,https://www.geonames.org/2653941,7,Imported from 20230728_Alma_Caa_all.xml
9209,wikidata,https://www.wikidata.org/wiki/Q350,21,Imported from 20230728_Alma_Caa_all.xml
9210,geonames,https://www.geonames.org/8010483,7,Imported from 20230728_Alma_Caa_all.xml
9210,wikidata,https://www.wikidata.org/wiki/Q45412,21,Imported from 20230728_Alma_Caa_all.xml
9211,geonames,https://www.geonames.org/3009443,7,Imported from 20230728_Alma_Caa_all.xml
9211,wikidata,https://www.wikidata.org/wiki/Q343,21,Imported from 20230728_Alma_Caa_all.xml
9212,geonames,https://www.geonames.org/2925535,7,Imported from 20230728_Alma_Caa_all.xml
9212,wikidata,https://www.wikidata.org/wiki/Q4024,21,Imported from 20230728_Alma_Caa_all.xml
9213,geonames,https://www.geonames.org/7285870,7,Imported from 20230728_Alma_Caa_all.xml
9213,wikidata,https://www.wikidata.org/wiki/Q36378,21,Imported from 20230728_Alma_Caa_all.xml
