856_z,project_fm_id
Universiteitsbibliotheek Gent,22
Bayerische Staatsbibliothek,23
Das Verzeichnis der im deutschen Sprachraum erschienenen Drucke des 17. Jahrhunderts,24
Bibliothèque municipale de Lyon,25
Servizio Bibliotecario Nazionale,26
Maastricht University Library,27
Staatsbibliothek zu Berlin,28
Museum Plantin-Moretus,29
Université de Lausanne,30
National Library of the Czech Republic,31
Tilburg University Library,32
Koninklijke Bibliotheek van Nederland,33
Universidad Complutense de Madrid,34
Österreichische Nationalbibliothek,35
Henry E. Huntington Library and Art Gallery,36
Biblioteca nazionale di Napoli,37
University of Michigan,38
Deutsches Museum,39
Biblioteca universitaria Alessandrina Roma,40
Museum Plantijn-Moretus,41
University of California,42
Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des 16. Jahrhunderts,43
Tresoar,44
Biblioteca nazionale centrale di Roma,45
Universiteitsbibliotheek Amsterdam,46
Erfgoedbibliotheek Hendrik Conscience Antwerpen,47
Biblioteca universitaria di Torino,48
The British Library,49
Universiteitsbibliotheek Nijmegen,50
Princeton University,51
Biblioteca Casanatense Roma,52
Staats- und Stadtbibliothek Augsburg,53
Universiteitsbibliotheek Leiden,54
Biblioteca di Cremona,55
Universiteitsbibliotheek Groningen,56
Universidad Complutense de Madrid ),57
Universitäts- und Landesbibliothek Sachsen-Anhalt,58
Museum Plantin Moretus,59
Thüringer Universitäts- und Landesbibliothek Jena,60
Universiteit Gent,61
Universität Luzern,62
Bibliothèque de Genève,63
Centre Céramique Maastricht,64
Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden,65
Universitäts- und Stadtbibliothek Köln,66
Universitätsbibliothek Basel,67
Biblioteca Casanatense di Roma,68
Bayersiche Staatsbibliothek,69
Sapienza - Università di Roma,70
University of Wisconsin-Madison Libraries,71
Bibliothèque Municipale de Lyon,72
Erfgoedbibliotheek Hendrik Conscience,73
University of Oxford,74
Universitätsbibliothek Paderborn,75
Niedersächsische Staats- und Universitätsbibliothek Göttingen,76
Biblioteca nazionale centrale di Firenze,77
University of Illinois,78
Universiteit Antwerpen,79
UCLouvain,80
Oxford University,81
Biblioteca de Catalunya,82
Biblioteca nacional de España,83
Herzog August Bibliothek Wolfenbüttel,84
Cambridge University Library,85
Biblioteca de Montserrat,86
Universitätsbibliothek Leipzig,87
Biblioteca nacional de Portugal,88
Universiteitsbibliotheek Gent ),89
Biblioteca Valenciana Digital,90
Tilburg University Library (state,91
Staatliche Bibliothek Regensburg,92
Universiteit Utrecht,93
Harvard Library,94
Biblioteca Nacional de España,95
Zentralbibliothek Zürich,96
"Regensburg, Staatliche Bibliothek",97
Bayerische Staatsbibliothek ),98
Folger Shakespeare Library,99
Bibliotheque municipale de Lyon,100
Biblioteca Valenciana,101
New York Public Library,102
Biblioteca Angelica Roma,103
National Library of Romania,104
Biblioteka Narodowa,105
Universitätsbibliothek Freiburg,106
Albert-Ludwigs-Universität Freiburg,107
