fm_id,link,project_fm_id,import
4148,http://anet.be/record/stcv/stcvopac/c:stcv:12912690,18,Imported from 20230728_Alma_Caa_all.xml
4148,https://lib.ugent.be/en/catalog?q=%28bkt01%29000083292,22,Imported from 20230728_Alma_Caa_all.xml
4149,https://lib.ugent.be/catalog/rug01:001765449,22,Imported from 20230728_Alma_Caa_all.xml
4150,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10275233-0,23,Imported from 20230728_Alma_Caa_all.xml
4151,https://books.google.be/books?id=RK46AAAAcAAJ,23,Imported from 20230728_Alma_Caa_all.xml
4152,https://lib.ugent.be/catalog/bkt01:000379896,22,Imported from 20230728_Alma_Caa_all.xml
4153,https://lib.ugent.be/catalog/bkt01:000004235,22,Imported from 20230728_Alma_Caa_all.xml
4154,http://anet.be/record/stcv/stcvopac/c:stcv:12912531/N,18,Imported from 20230728_Alma_Caa_all.xml
4154,https://lib.ugent.be/en/catalog?q=%28bkt01%29000387076,22,Imported from 20230728_Alma_Caa_all.xml
4155,https://lib.ugent.be/catalog/bkt01:000388250,22,Imported from 20230728_Alma_Caa_all.xml
4158,http://gso.gbv.de/DB=1.28/XMLPRS=Y/PPN?PPN=0001112449,24,Imported from 20230728_Alma_Caa_all.xml
4158,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10448836-7,23,Imported from 20230728_Alma_Caa_all.xml
4159,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10265868-8,23,Imported from 20230728_Alma_Caa_all.xml
4160,https://anet.be/record/stcvopac/c:stcv:12914518,18,Imported from 20230728_Alma_Caa_all.xml
4160,https://www.ustc.ac.uk/editions/1001532,17,Imported from 20230728_Alma_Caa_all.xml
4161,https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100460844,25,Imported from 20230728_Alma_Caa_all.xml
