fm_id,type
4148,printed
4149,printed
4150,printed
4151,printed
4152,printed
4153,printed
4154,printed
4155,printed
4156,printed
4157,printed
4158,printed
4159,printed
4160,printed
4161,printed
4162,printed
4163,printed
4164,printed
4165,printed
4166,printed
4167,printed
4168,printed
4169,printed
4171,printed
4172,printed
4173,printed
4175,printed
4177,printed
4178,printed
4179,printed
4181,printed
4182,printed
4183,printed
4185,printed
4186,printed
4187,printed
4188,printed
4189,printed
4190,printed
4191,printed
4192,printed
4193,printed
4194,printed
4195,printed
4196,printed
4197,printed
4198,printed
4199,printed
4200,printed
4201,printed
4204,printed
4205,printed
4208,printed
4209,printed
4210,printed
4211,printed
4212,printed
4213,printed
4214,printed
4215,printed
4216,printed
4217,printed
4218,printed
4219,printed
4220,printed
4221,printed
4222,printed
4223,printed
4224,printed
4225,printed
4226,printed
4227,printed
4228,printed
4229,printed
4230,printed
4231,printed
4232,printed
4233,printed
4234,printed
4235,printed
4237,printed
4239,printed
4240,printed
4242,printed
4243,printed
4246,printed
4247,printed
4248,printed
4249,printed
4250,printed
4251,printed
4252,printed
4253,printed
4254,printed
4255,printed
4256,printed
4257,printed
4258,printed
4259,printed
4260,printed
4261,printed
4262,printed
4263,printed
4264,printed
4265,printed
4266,printed
4267,printed
4268,printed
4269,printed
4270,printed
4271,printed
4273,printed
4274,printed
4275,printed
4276,printed
4277,printed
4278,printed
4279,printed
4280,printed
4281,printed
4282,printed
4283,printed
4284,printed
4285,printed
4288,printed
4289,printed
4290,printed
4291,printed
4292,printed
4293,printed
4294,printed
4296,printed
4297,printed
4298,printed
4299,printed
4300,printed
4304,printed
4305,printed
4306,printed
4307,printed
4308,printed
4309,printed
4310,printed
4311,printed
4312,printed
4313,printed
4314,printed
4315,printed
4316,printed
4317,printed
4318,printed
4319,printed
4320,printed
4321,printed
4322,printed
4323,printed
4325,printed
4326,printed
4327,printed
4328,printed
4329,printed
4330,printed
4331,printed
4332,printed
4333,printed
4334,printed
4335,printed
4336,printed
4337,printed
4338,printed
4339,printed
4342,printed
4343,printed
4344,printed
4345,printed
4346,printed
4350,printed
