fm_id,RecordID,type
4147,9915813600101488,printed
4148,9915844270101488,printed
4149,9915844420101488,printed
4150,9915844970101488,printed
4151,9915845470101488,printed
4152,9915845570101488,printed
4153,9915846140101488,printed
4154,9915846410101488,printed
4155,9915846470101488,printed
4156,9915884500101488,printed
4157,9915886100101488,printed
4158,9915982480101488,printed
4159,9916041520101488,printed
4160,9916057750101488,printed
4161,9916132840101488,printed
4162,9916155290101488,printed
4163,9916177850101488,printed
4164,9916187660101488,printed
4165,9916243120101488,printed
4166,9916243400101488,printed
4167,9916250010101488,printed
4168,9916271510101488,printed
4169,9916272160101488,printed
4170,9916348730101488,printed
4171,9916351830101488,printed
4172,9916370230101488,printed
4173,9916623660101488,printed
4174,9916677600101488,printed
4175,9916805520101488,printed
4176,9916806140101488,printed
4177,9916833840101488,printed
4178,9916852560101488,printed
4179,9916966020101488,printed
4180,9917147290101488,printed
4181,9917169640101488,printed
4182,9917174320101488,printed
4183,992119560101488,printed
4184,992170640101488,printed
4185,992212890101488,printed
4186,992222750101488,printed
4187,992222760101488,printed
4188,992230190101488,printed
4189,992341420101488,printed
4190,992387050101488,printed
4191,992391020101488,printed
4192,992542040101488,printed
4193,992581730101488,printed
4194,992595310101488,printed
4195,992620650101488,printed
4196,992633660101488,printed
4197,992646360101488,printed
4198,992651140101488,printed
4199,992651150101488,printed
4200,992653020101488,printed
4201,992747560101488,printed
4202,992762840101488,printed
4203,992835220101488,printed
4204,992967710101488,printed
4205,993173750101488,printed
4206,993432980101488,printed
4207,993433740101488,printed
4208,993467750101488,printed
4209,993571560101488,printed
4210,993571680101488,printed
4211,993571890101488,printed
4212,993572110101488,printed
4213,993575860101488,printed
4214,993615820101488,printed
4215,993616010101488,printed
4216,993616650101488,printed
4217,993619390101488,printed
4218,993619690101488,printed
4219,993685980101488,printed
4220,993689140101488,printed
4221,993689420101488,printed
4222,993689680101488,printed
4223,993710450101488,printed
4224,993712470101488,printed
4225,993716800101488,printed
4226,993725400101488,printed
4227,993725510101488,printed
4228,993725560101488,printed
4229,993725610101488,printed
4230,993726270101488,printed
4231,993727210101488,printed
4232,993727310101488,printed
4233,993727340101488,printed
4234,993727400101488,printed
4235,993772390101488,printed
4236,993796690101488,printed
4237,9917233360101488,printed
4238,9917253990101488,printed
4239,9917340400101488,printed
4240,9917466710101488,printed
4241,9917477210101488,printed
4242,9917722280101488,printed
4243,9917763840101488,printed
4244,9917808120101488,printed
4245,9917830370101488,printed
4246,9917866700101488,printed
4247,9917867840101488,printed
4248,9917929630101488,printed
4249,9917986360101488,printed
4250,9917986650101488,printed
4251,9917994840101488,printed
4252,9918036160101488,printed
4253,9918047040101488,printed
4254,9918321310101488,printed
4255,9918327830101488,printed
4256,9918333910101488,printed
4257,9918334460101488,printed
4258,9918339520101488,printed
4259,9918339620101488,printed
4260,9918340800101488,printed
4261,9918397480101488,printed
4262,9918456230101488,printed
4263,9918475170101488,printed
4264,9918484890101488,printed
4265,9918486100101488,printed
4266,9918495030101488,printed
4267,9918567050101488,printed
4268,9918572020101488,printed
4269,9918608450101488,printed
4270,9918650990101488,printed
4271,9918678690101488,printed
4272,9918696310101488,printed
4273,9918696860101488,printed
4274,9918702620101488,printed
4275,9918770910101488,printed
4276,9918790490101488,printed
4277,9918875050101488,printed
4278,9918875930101488,printed
4279,9918904270101488,printed
4280,9918918420101488,printed
4281,9918920530101488,printed
4282,9918997830101488,printed
4283,9919050510101488,printed
4284,9919074590101488,printed
4285,9919279540101488,printed
4286,991428500101488,printed
4287,991442380101488,printed
4288,991449780101488,printed
4289,991449860101488,printed
4290,991451260101488,printed
4291,991453340101488,printed
4292,991453750101488,printed
4293,991456540101488,printed
4294,991456960101488,printed
4295,991459440101488,printed
4296,991462130101488,printed
4297,991462210101488,printed
4298,991462260101488,printed
4299,991550000101488,printed
4300,991550120101488,printed
4301,991560620101488,printed
4302,991572190101488,printed
4303,991588410101488,printed
4304,991598680101488,printed
4305,991623110101488,printed
4306,991623120101488,printed
4307,991623340101488,printed
4308,991629420101488,printed
4309,991629460101488,printed
4310,991635130101488,printed
4311,991635140101488,printed
4312,991638820101488,printed
4313,991646530101488,printed
4314,991646600101488,printed
4315,991657430101488,printed
4316,991660380101488,printed
4317,991663910101488,printed
4318,991663980101488,printed
4319,991667700101488,printed
4320,991676650101488,printed
4321,991676660101488,printed
4322,991676810101488,printed
4323,991682590101488,printed
4324,991682910101488,printed
4325,991684750101488,printed
4326,991690610101488,printed
4327,991690670101488,printed
4328,991972870101488,printed
4329,992022640101488,printed
4330,992029470101488,printed
4331,992050600101488,printed
4332,992051110101488,printed
4333,9921153230101488,printed
4334,9921291220101488,printed
4335,9921391030101488,printed
4336,9921391100101488,printed
4337,9921391160101488,printed
4338,9921391240101488,printed
4339,9921576960101488,printed
4340,9921868300101488,printed
4341,9921875350101488,printed
4342,9921943610101488,printed
4343,9921954400101488,printed
4344,9921991440101488,printed
4345,9922173930101488,printed
4346,9922174610101488,printed
4347,9922202080101488,printed
4348,9922257600101488,printed
4349,9922267860101488,printed
4350,9922318050101488,printed
4351,9922331390101488,printed
4352,9922334930101488,printed
4353,9922336930101488,printed
4354,9922338310101488,printed
4355,9922349300101488,printed
4356,9922440680101488,printed
4357,9922447310101488,printed
4358,9922526700101488,printed
4359,9922565410101488,printed
4360,9922568310101488,printed
4361,9922570340101488,printed
4362,9922572330101488,printed
4363,9922574340101488,printed
4364,9922580370101488,printed
4365,9922651620101488,printed
4366,9922651680101488,printed
4367,9922654270101488,printed
4368,9922708540101488,printed
4369,9922708760101488,printed
4370,9922724990101488,printed
4371,9922734740101488,printed
4372,9922761700101488,printed
4373,9922780780101488,printed
4374,9922785120101488,printed
4375,9922785580101488,printed
4376,9922856340101488,printed
4377,9922871790101488,printed
4378,9922970960101488,printed
4379,9922988030101488,printed
4380,9923085230101488,printed
4381,9923107700101488,printed
4382,9923168680101488,printed
4383,9923251300101488,printed
4384,9919322250101488,printed
4385,9919328720101488,printed
4386,9919328940101488,printed
4387,9919329180101488,printed
4388,9919330170101488,printed
4389,9919371400101488,printed
4390,9919375100101488,printed
4391,9919383750101488,printed
4392,9919446400101488,printed
4393,9919455530101488,printed
4394,9919502200101488,printed
4395,9919502350101488,printed
4396,9919503890101488,printed
4397,9919534890101488,printed
4398,9919614450101488,printed
4399,9919685880101488,printed
4400,9919813190101488,printed
4401,9919839610101488,printed
4402,9919839670101488,printed
4403,9919920470101488,printed
4404,9919933440101488,printed
4405,9919936660101488,printed
4406,9920002320101488,printed
4407,9920027680101488,printed
4408,9920049700101488,printed
4409,9920049760101488,printed
4410,9920049830101488,printed
4411,9920058260101488,printed
4412,9920076720101488,printed
4413,9920095650101488,printed
4414,9920100340101488,printed
4415,9920100580101488,printed
4416,9920100790101488,printed
4417,9920146310101488,printed
4418,9920245680101488,printed
4419,9920281520101488,printed
4420,9920336950101488,printed
4421,9920337960101488,printed
4422,9920368860101488,printed
4423,9920409120101488,printed
4424,9920409480101488,printed
4425,9920409650101488,printed
4426,9920499400101488,printed
4427,9920624460101488,printed
4428,9920726970101488,printed
4429,9920743730101488,printed
4430,9920786690101488,printed
4431,9920852900101488,printed
4432,9920903320101488,printed
4433,9921134250101488,printed
4434,9926993450101488,printed
4435,9927144220101488,printed
4436,9927168700101488,printed
4437,9927198830101488,printed
4438,9927376630101488,printed
4439,9927386640101488,printed
4440,9927446220101488,printed
4441,9927499500101488,printed
4442,9927538060101488,printed
4443,9927570040101488,printed
4444,9927574720101488,printed
4445,9927586790101488,printed
4446,9927603200101488,printed
4447,9927615970101488,printed
4448,9927637070101488,printed
4449,9927641560101488,printed
4450,9927650460101488,printed
4451,9927652920101488,printed
4452,9927653860101488,printed
4453,9927656170101488,printed
4454,9927657790101488,printed
4455,9927669400101488,printed
4456,9927683810101488,printed
4457,9927684260101488,printed
4458,9927684710101488,printed
4459,9927685170101488,printed
4460,9927692750101488,printed
4461,9927709310101488,printed
4462,9927729710101488,printed
4463,9927755050101488,printed
4464,9927880680101488,printed
4465,9928344940101488,printed
4466,9928414920101488,printed
4467,9928430130101488,printed
4468,9928430330101488,printed
4469,9928494090101488,printed
4470,9928499240101488,printed
4471,9928499410101488,printed
4472,9928501390101488,printed
4473,9928529930101488,printed
4474,9928553260101488,printed
4475,9928608510101488,printed
4476,9928621420101488,printed
4477,9928651080101488,printed
