fm_id,call_no
6355,Call number: ms. 21901
6356,Call number: ms. 21900
6357,Call number: ms. 21895
6358,Call number: ms. 21905
6359,Call number: ms. 21903
6360,Call number: ms. 21910
6361,Call number: ms. 21909
6362,Call number: ms. 21908
6363,Call number: ms. 21907
6364,Call number: ms. 21917
6365,Call number: ms. 21916
6366,Call number: ms. 21915
6367,Call number: ms. 21913
6368,Call number: ms. 21912
6369,Call number: ms. 21911
6373,Call number: ms. 21918
6374,Call number: ms. 21924
6375,Call number: ms. 21923
6376,Call number: ms. 21926
6377,Call number: ms. 21925
6378,Call number: ms. 21927
6379,Call number: ms. 21930
6380,Call number: ms. 21929
6381,Call number: ms. 21928
6382,Call number: ms. 21933
6383,Call number: ms. 22031
6384,Call number: ms. 21936
6385,Call number: ms. 21935
6386,Call number: ms. 21934
6387,Call number: ms. 21931
6388,Call number: ms. 2929
6389,Call number: ms. 22042
6390,Call number: ms. 22039
6391,Call number: ms. II 3078
6392,Call number: ms. II 3079
6393,Call number: ms. II 1562
6394,Call number: ms. III 1185
6395,Call number: ms. III 1184
6396,Call number: ms. III 1183
6397,Call number: ms. III 1182
6398,Call number: ms. III 1181
6399,Call number: ms. III 1180
6400,Call number: ms. III 1179
6401,Call number: ms. III 1361
6402,Call number: ms. III 1186/2
6403,Call number: ms. III 1186/1
6404,Call number: ms. III 2032
6413,Call number: ms. 4133
6414,Call number: ms. 14557
6415,Call number: ms. 11914
6416,Call number: ms.2156
6417,Call number: ms. 945
6418,Call number: ms. 3328-31
6419,Call number: ms. 20897-20898
6420,Call number: ms. 3515
6421,Call number: ms. 22153
6422,Call number: ms. 8471-8475
6424,Call number: ms. 5794
6429,Call number: ms. BMH SJ h58
6430,Call number: ms. 115
6431,Call number: ms. 122
6432,Call number: ms. BMH Warm H93H15
6433,Call number: ms.BMH h6
6444,Call number: ms.168/1
6445,Call number: ms.180
6446,Call number: ms.168/2
6447,Call number: ms.682
6448,Call number: ms.509
6449,Call number: ms.365
6450,Call number: ms.1761
6451,Call number: ms.246
6554,Call number: ms. II 3532
6555,Call number: ms. II 3698
6556,Call number: ms. II 3660
6557,Call number: ms. II 3595
6558,Call number: ms. II 3703
6559,Call number: ms. II 4351
6560,Call number: ms. II 4352
6561,Call number: ms. II 4608
6562,Call number: ms. II 4594
6563,Call number: ms. II 4480
6564,Call number: ms. II 4645
6565,Call number: ms. II 4624
6566,Call number: ms. II 4609
6567,Call number: ms. II 4422
6568,Call number: ms. II 4578
6569,Call number: ms. II 4523
6570,Call number: ms. II 4680
6571,Call number: ms. II 4655
6572,Call number: ms. II 4733
6573,Call number: ms. II 4732
6574,Call number: ms. II 4268
6575,Call number: ms. II 4269
6576,Call number: ms. II 4284
6577,Call number: ms. II 4281
6578,Call number: ms. II 4285
6579,Call number: ms. II 4272
6580,Call number: ms. II 4271
6581,Call number: ms. II 4270
6582,Call number: ms. II 5157
6583,Call number: ms. II 5135
6584,Call number: ms. II 4854
6585,Call number: ms. II 4765
6586,Call number: ms. II 5167
6587,Call number: ms. II 5056
6588,Call number: ms. II 5233
6589,Call number: ms. II 5339
6590,Call number: ms. II 5338
6591,Call number: ms. II 5311
6592,Call number: ms. II 5366
6593,Call number: ms. II 5342
6594,Call number: ms. II 5411
6595,Call number: ms. II 5380
6596,Call number: ms. II 5412
6597,Call number: ms. II 5419
6598,Call number: ms. II 5415
6599,Call number: ms. II 5422
6600,Call number: ms. II 5426
6601,Call number: ms. II 5444
6602,Call number: ms. II 5459
6603,Call number: ms. II 5516
6604,Call number: ms. II 5517
6605,Call number: ms. II 6281
6606,Call number: ms. II 5964
6607,Call number: ms. II 5602
6608,Call number: ms. II 7699/1
6609,Call number: ms. II 7346
6610,Call number: ms. II 6284
6611,Call number: ms. II 6933
6612,Call number: ms. II 6649
6613,Call number: ms. II 7699/2
6614,Call number: ms. II 7762
6615,Call number: ms. II 7699/3
6616,Call number: ms. III 1023
6617,Call number: ms. III 372
6618,Call number: ms. III 1028
6619,Call number: ms. III 1100
6620,Call number: ms. III 1102
6621,Call number: ms. III 1101
6622,Call number: ms. III 1103/1
6624,Call number: ms. III 1103/2
6625,Call number: ms. III 1103/3
6626,Call number: ms. III 1561
6627,Call number: ms. III 1175
6628,Call number: ms. III 1422
6629,Call number: ms. 8493-8494
6630,Call number: ms. 5837-5838
6631,Call number: ms. 3487-3490
6632,Call number: ms. 11701
6633,Call number: ms. 11700
6634,Call number: ms. 11698
6635,Call number: ms. 14805
6636,Call number: ms. 14376
6637,Call number: ms. 14244-14248
6638,Call number: ms. 15432-15434
6639,Call number: ms. 11702
6640,Call number: ms. 20986
6641,Call number: ms. 20984
6642,Call number: ms. 20982
6643,Call number: ms. 20981
6644,Call number: ms. 21121
6645,Call number: ms. 20987
6646,Call number: ms. 19376
6647,Call number: ms. 18373-18374
6648,Call number: ms. 21126
6649,Call number: ms. 21127
6650,Call number: ms. 21899
6651,Call number: ms. 21894
6652,Call number: ms. 21615
6653,Call number: ms. 21902
6727,Call number: Ms. O1
6728,Call number: Ms. O2
6729,Call number: Ms. K6
6730,Call number: Ms. K1
6731,Call number: Ms. R2
6732,Call number: Ms. K8
6733,Call number: Ms. 251
6734,Call number: Ms. R11
6735,Call number: Ms. K13
6736,Call number: Ms. K14
6737,Call number: Ms. M9
6738,Call number: Ms. K12
6739,Call number: Ms. K9
6744,Call number: Ms. M5
6745,Call number: Ms. F11
6746,Call number: ms. H/16/W
6759,Call number: Ms. C24
6760,Call number: Ms. C18
6761,Call number: Ms. C2
6762,Call number: Ms. C29
6763,Call number: Ms. C48
6764,Call number: Ms. C31
6765,Call number: Ms. C3
6766,Call number: Ms. C86
6767,Call number: Ms. C57
6768,Call number: Ms. C50
6769,Call number: Ms. C49
6770,Call number: Ms. C78
6771,Call number: Ms. C66
6772,Call number: Ms. C62
6773,Call number: Ms. C100
6774,Call number: Ms. C97
6775,Call number: Ms. C103
6776,Call number: Ms. C155
6777,Call number: Ms. C171
6778,Call number: Ms. C164
6779,Call number: Ms. C161
6780,Call number: Ms. C160
6781,Call number: Ms. C159
6782,Call number: Ms. C146
