fm_id,RecordID,project,import
6355,9992259740301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6356,9992259742801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6357,9992259762901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6358,9992260067701488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6359,9992260073401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6360,9992260279201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6361,9992260288901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6362,9992260295001488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6363,9992260297901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6364,9992260790201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6365,9992260794101488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6366,9992260798501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6367,9992260801001488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6368,9992260904601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6369,9992260909301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6370,9992265092101488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6371,9992265095501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6372,9992265202401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6373,9992270688501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6374,9992271601801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6375,9992271603901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6376,9992271890801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6377,9992271895301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6378,9992272707601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6379,9992272987701488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6380,9992272991501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6381,9992272998501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6382,9992273290201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6383,9992274354001488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6384,9992274362101488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6385,9992274371401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6386,9992274373801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6387,9992274409201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6388,9992274445301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6389,9992274448601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6390,9992274455601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6391,9992274990501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6392,9992275076501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6393,9992275208101488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6394,9992276573901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6395,9992276575601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6396,9992276576501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6397,9992276579101488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6398,9992276677401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6399,9992276679901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6400,9992276681901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6401,9992276735001488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6402,9992276739201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6403,9992276749601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6404,9992282003601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6405,9992337086601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6406,9992345588901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6407,9992390707301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6408,9992408054301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6409,9992423306701488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6410,9992467506901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6411,9992473708801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6412,9992475809401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6413,9992549499201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6414,9992549879801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6415,9992549884401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6416,9992549892801488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6417,9992550090001488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6418,9992551509201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6419,9992552106201488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6420,9992552206501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6421,9992553310301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6422,9992560289301488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6423,9992560779401488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6424,9992560883901488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6425,9992565509601488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6426,9992573109501488,1,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
