fm_id,inst_fk,institution_role,import
6355,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6356,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6357,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6358,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6359,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6360,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6361,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6362,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6363,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6364,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6365,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6366,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6367,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6368,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6369,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6370,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6371,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6372,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6373,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6374,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6375,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6376,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6377,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6378,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6379,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6380,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6381,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6382,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6383,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6384,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6385,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6386,27,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6387,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6388,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6389,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6390,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6391,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6392,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6393,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6394,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6395,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6396,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6397,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6398,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6399,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6400,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6401,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6402,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6403,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6404,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6405,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6406,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6407,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6408,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6408,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6409,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6410,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6411,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6412,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6413,25,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6414,25,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6415,25,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6416,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6417,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6418,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6419,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6420,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6421,25,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6422,0,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6423,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6424,25,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6425,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6426,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6427,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6428,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6429,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6430,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6431,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6432,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6433,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6434,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6435,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6436,0,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6437,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6438,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6439,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6440,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6441,21,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6442,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6443,26,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6444,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6445,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6446,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6447,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6448,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6449,19,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6450,20,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6451,16,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6452,18,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6453,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
6454,17,organizing institution,Imported from 20230728_113119_md_ingest_alma_lecture_notes.xml
