tag_001,d1,m1,y1,d2,m2,y2,place_fm_id,fm_id,import
9912778250101488,26,6,1715,26,6,1715,2,6954,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912778400101488,7,2,1715,7,2,1715,2,6955,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912779680101488,14,1,1727,14,1,1727,2,6956,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912779810101488,5,7,1729,5,7,1729,2,6957,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912781690101488,0,0,1739,0,0,1739,2,6958,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912781880101488,17,2,1739,17,2,1739,2,6959,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782030101488,4,4,1740,4,4,1740,2,6960,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782100101488,26,7,1740,26,7,1740,2,6961,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782180101488,21,7,1741,21,7,1741,2,6962,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912782850101488,22,6,1700,22,6,1700,2,6963,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912783740101488,2,4,1745,2,4,1745,2,6964,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912783880101488,17,7,1698,17,7,1698,2,6965,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912783980101488,18,2,1708,18,2,1708,2,6966,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784040101488,31,7,1715,31,7,1715,2,6967,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784150101488,13,3,1722,13,3,1722,2,6968,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
9912784260101488,30,7,1722,30,7,1722,2,6969,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml
