RecordID,inst_fm_id,institution_role,import,fm_id
9912778250101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2071
9912778400101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2072
9912779680101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2073
9912779810101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2074
9912781690101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2075
9912781880101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2076
9912782030101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2077
9912782100101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2078
9912782180101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2079
9912782850101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2080
9912783740101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2081
9912783880101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2082
9912783980101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2083
9912784040101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2084
9912784150101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2085
9912784260101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2086
9912784410101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2087
9912785450101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2088
9912785610101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2089
9912785800101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2090
9912785810101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2091
9912786310101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2092
9912786510101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2093
9912786810101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2094
9912787000101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2095
9912787050101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2096
9912787220101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2097
9912787360101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2098
9912787500101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2099
9912787740101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2100
9912788060101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2101
9912788130101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2102
9912789230101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2103
9912789330101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2104
9912789430101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2105
9912789510101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2106
9912790220101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2107
9912790330101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2108
9912790420101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2109
9912790680101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2110
9912790720101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2111
9912790780101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2112
9912790830101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2113
9912791210101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2114
9912791280101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2115
9912791340101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2116
9912791440101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2117
9912791510101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2118
9912791790101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2119
9912791870101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2120
9912792450101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2121
9912792770101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2122
9912793180101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2123
9912793320101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2124
9912793600101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,2125
