RecordID,inst_fm_id,institution_role,import,fm_id
9912778250101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6969
9912778400101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6970
9912779680101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6971
9912779810101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6972
9912781690101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6973
9912781880101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6974
9912782030101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6975
9912782100101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6976
9912782180101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6977
9912782850101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6978
9912783740101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6979
9912783880101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6980
9912783980101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6981
9912784040101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6982
9912784150101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6983
9912784260101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6984
9912784410101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6985
9912785450101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6986
9912785610101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6987
9912785800101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6988
9912785810101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6989
9912786310101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6990
9912786510101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6991
9912786810101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6992
9912787000101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6993
9912787050101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6994
9912787220101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6995
9912787360101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6996
9912787500101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6997
9912787740101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6998
9912788060101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,6999
9912788130101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,7000
9912789230101488,26,organizing institution,Imported from 20240223092601_the_ingest_alma_theses_oul_digcol_xml,7001
