"RecordID","orig_text_from_marc","toponym.p","toponym.p2","toponym.p3","top_used","place_fm_id_found"
"9912778250101488","Defendet Petrus Ignatius Coppee Chimacensis.","Chimacensis",,,"chimacensis",0
"9912778400101488","Defendet Walterus Slegers ex Boxtel.",," Boxtel",,"boxtel",1900
"9912779680101488","Præside [...] Hieronymo t'Seraerts [...] defendet Lambertus Josephus Allart Namuranus.",,,"Namuranus","namuranus",445
"9912779810101488","Defendet Erminus André Binchiensis.","Binchiensis",,,"binchiensis",77
"9912781690101488","Præside [...] Carolo Gisleno Daelman [...] defendet Laurentius vander Steen Bruxellensis.","Bruxellensis",,,"bruxellensis",116
"9912781880101488","Præside [...] Joanne Libens [...] defendet Joannes van Wesel Westerloensis.","Westerloensis",,,"westerloensis",688
"9912782030101488","Præside [...] Stephano Dominico de Laittres [...] defendet Hieronymus Hermans ex Heusden. Ordinis Præmonstratensis ecclesiæ B. Mariæ, & S. Joannis Evangelistæ de Parcho canonicus.","Praemonstratensis"," Heusden",,"heusden",285
"9912782100101488","Præside [...] Joanne Josepho Guyaux [...] defendet F. Hieronymus Francart Nivellensis, religiosus Villariensis.","Nivellensis",,,"nivellensis",457
"9912782180101488","Præside [...] Stephano Dominico de Laittres [...] defendet Libertus Josephus Wirix Lovaniensis.","Lovaniensis",,,"lovaniensis",2
"9912782850101488","Præside [...] Martino Steyaert [...] defendet Joannes Antonius Aerts Bruxellensis.","Bruxellensis",,,"bruxellensis",116
"9912783740101488","Præside [...] Andrea Henckhuysen [...] defendet Carolus Josephus Leyniers Bruxellensis.","Bruxellensis",,,"bruxellensis",116
"9912783980101488","Defendet Joannes Gerardus Plugers Trudonensis.","Trudonensis",,,"trudonensis",580
"9912784040101488","Defendet Antonius Delhaye Castro-Solranus.",,,"Castro-Solranus","castrosolranus",7608
"9912784150101488","Præside [...] Florentio Sullivane [...] defendet Nicolaus Josephus vander Locht Bruxellensis.","Bruxellensis",,,"bruxellensis",116
"9912784260101488","Præside [...] Hieronymo t'Seraerts [...] defendet Bartholomæus Simon Bruxellensis, ord. Præmonst. ecclesiæ B. Mariæ Dilig. canonicus.","Bruxellensis",,,"bruxellensis",116
"9912785450101488","Defendet Sebastianus vanden Cruys Perensis.","Perensis",,,"perensis",498
"9912785610101488","Defendet Gerardus Renson Blehemiensis.","Blehemiensis",,,"blehemiensis",1663
"9912785810101488","Præside [...] Joanne Liberto Hennebel [...] defendet Jacobus Bagenrieux Lessiniensis.","Lessiniensis",,,"lessiniensis",364
"9912786310101488","Præside [...] Joanne Josepho Guyaux [...] defendet Josephus Bax ex Berlaer.",," Berlaer",,"berlaer",65
"9912786510101488","Defendet Guilielmus Eloy Montensis.","Montensis",,,"montensis",61
"9912786810101488","Defendet Michael Franciscus Eloy Montensis.","Montensis",,,"montensis",61
"9912787000101488","Defendet Laurentius Huygens Leeuwensis S. Petri.","Leeuwensis",,,"leeuwensis",9056
"9912787220101488","Defendet Jacobus Bachusius Namuranus.",,,"Namuranus","namuranus",445
"9912787360101488","Defendet Michael Josephus Brion ex Corbais.",," Corbais",,"corbais",4808
"9912787740101488","Præside [...] Jacobo Thoma Josepho Wellens [...] defendet Matthias Franciscus van Camp Antverpiensis.","Antverpiensis",,,"antverpiensis",26
"9912788130101488","Præside [...] Joanne van der Auwera [...] defendet F. Josephus Fonson Bruxellensis, ordinis Cisterciensis abbatiæ Villariensis religiosus.","Bruxellensis",,,"bruxellensis",116
"9912789430101488","Præside [...] Joanne van der Auwera [...] defendet Joannes Baptista Cypers Antverpiensis.","Antverpiensis",,,"antverpiensis",26
