"RecordID","orig_text_from_marc","last_word","last_word2","place_fm_id_found"
"9912784410101488","Defendet Henricus Legrand.","Legrand","legrand",
"9912787500101488","Præside [...] Joanne Sullivane [...] defendet Jacobus de Bay Morighemius.","Morighemius","morighemius",
"9912789230101488","Præside [...] Josepho Maugis [...] defendet Ludovicus Nihon Mosæ-Trajectinus, ord. eremit. S.P. Augustini.","Augustini","augustini",
"9912795340101488","Præside [...] Petro Ignatio de Bisschop [...] defendet Hermannus Joseph Seerwart Lyranus, ord. Præm. ecclesiæ S. Michaëlis Antverpiæ canonicus.","Antverpiae","antverpiae",
"9988960990101488","Præside [...] D. Adriano Carolo Josepho van Rossum [...] defendet in publico auditorio medico D. Petrus Andreas Borret Dordraco-Batavus, Lovanii horâ decimâ 28. martii 1772.","Dordraco-Batavus,","dordracobatavus",
"9989047820101488","Præside [...] D. Judoco Le Plat [...] defendet die 13. novembris 1775. perillustris dominus D. Alexander Henricus Ludovicus comes de Lalaing baro de Montigny &c. &c. ubique natus.","natus","natus",
"9989058940101488","Præside [...] D. Henrico Goessens [...] defendet die 16. martii 1776. Adrianus Michael Jos. Griez.","Griez","griez",
"9989061460101488","consultissimi domini D. Michaelis Jos. van Gobbelschroy Lovaniensis J.U.L. & alternis annis Paratitlorum J. civ., alternis Institutionum imperialium professoris regii ad aulam doctoralem. [...] Le Plat vidit. Die 19. junii 1776. [...].",,,
"9989075680101488","Præside [...] D. Judoco Le Plat [...] defendet die 28. novembris 1777. [...] Nicolaus Incolle Hulpanus.","Hulpanus","hulpanus",
"9991814460101488",,,,
"9991830560101488","Præside [...] Andrea Henckhuysen [...] defendet Fidelis Amandus de Schamphelere [...].","Schamphelere","schamphelere",
"9991831970101488",,,,
"9991833130101488",,,,
"9991833760101488","Præside [...] Andrea Henckhuysen [...] defendet Joannes van Nuffel.","Nuffel","nuffel",
"9991833820101488","Præside [...] Henrico van Gameren [...] defendet Lambertus Melotte [...].","Melotte","melotte",
"9915890170101488","Præside [...] Henrico Goessens [...] defendet die 25. octobris 1771. reverendus dominus D. Jacobus Mathias Chokier Leodius ecclesiæ collegiatæ sti Joannis Evangelistæ Leodii canonicus.","Leodii","leodii",
"9915894830101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu præside [...] Philippo van Billoen [...] in publico jurium auditorio oppugnandas proponit die 24. januarii 1772. Joannes Robertus Graham ubique natus.","natus","natus",
"9915897590101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu præside ... Henrico Goessens ... in publico jurium auditorio oppugnandas proponit die 6. martii 1772. Adrianus Ignat. van Vlierberghe Stekenia-Wasianus.","Stekenia-Wasianus","stekeniawasianus",
"9915902560101488","Præside [...] Philippo van Billoen [...] defendet die 16. maii 1772. prænobilis dominus D. Reinhardus Nicolaus Posson ubique natus.","natus","natus",
"9915902810101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu præside [...] Henrico Goessens [...] in publico jurium auditorio oppugnandas proponit die 18. maii 1772. prænobilis dominus D. Reinhardus Nicolaus Posson ubique natus.","natus","natus",
"9989575770101488","Goessens vidit. Defendet in collegio baccalaureorum J.U. Gabriel Josephus Scarsez. Lovanii die 29. julii 1773. [...].","Scarsez","scarsez",
"9989576230101488","Goessens vidit. Defendet in collegio baccalaureorum J.U. prænobilis dominus D. Carolus Franciscus Jos. de Iturrieta ubique natus. Lovanii die 21. augusti 1773. [...].","natus","natus",
"9989718620101488","Heuschling vidit. Defendet in collegio baccalaureorum J.U. Ludovicus Josephus Herman Chimacenus. Lovanii die 9. februarii 1775. [...].","Chimacenus","chimacenus",
"9912566800101488","in celeberrimo medicinæ baccalaureorum collegio propugnatarum a D. Joanne Baptista Bervoets Lovaniensi, D. Joanne Balthazare de Neve Ostendano, D. Henrico Alexandro s'Heeren Leeuwensi, D. Godefrido Josepho Bomal ex Thines, sub præsidio ... Josephi Francisci de Bruyne Gandensis, nuper medicinæ baccalaureorum fisci et tunc temporis decani, quam idem denuo pro adipiscenda medicinæ laurea in publico medicorum auditorio oppugnandam sistit hora decima diei 9. julii 1776. sub auspiciis ... Adriani Car. Jos. van Rossum ...",,,
"9912751540101488","Præside [...] Stephano Dominico de Laittres [...] defendet Petrus Antonius Josephus de Colins [...].","Colins","colins",
"9912919570101488","Quas conclusiones, pro adipiscendo J.U. licentiæ, gradu præside [...] Leonardo Josepho Streithagen [...] in publico jurium auditorio oppugnandas proponit die 4. februarii 1771. Joannes Jacobus Ludovicus Sartorius Leodio-Visetanus. Nuper J.U. baccalaureorum fiscus & decanus.","decanus","decanus",
"9912818870101488","Defendet Robertvs Bvffe in collegio majori.","Bvffe","bvffe",
"9912823420101488","Defendet Ioannes van Schaluynen Tuerenhautanus. In collegio maiori.","maiori","maiori",
"9912829450101488","Defendet Amandus de Lauwere Gemertanus. In collegio maiori.","maiori","maiori",
"9912838310101488","Defendet Joannes van Schaluynen Turenhoutanus. In collegio majori.","majori","majori",
"9912900140101488","Quas præside ... Gummaro Huygens ... defendet Joannes Baptista Beckers Beringus. In collegio Adriani VI. pontificis, die 29. novembris 1685.","1685","1685",
"9912802310101488","Præside [...] Joanne van der Auwera [...] defendet Hermannus Joseph Seerwart Lyranus, ord. Præm. ecclesiæ S. Michaëlis Antverpiæ canonicus.","Antverpiae","antverpiae",
"9912810500101488","Præside [...] Christiano Francisco Terswaek [...] defendet Hermannus Joseph Seerwart Lyranus, ord. Præm. ecclesiæ S. Michaëlis Antverpiæ canonicus.","Antverpiae","antverpiae",
"9912812230101488","Præside [...] Thoma Lamberto Ghenne [...] defendet Deodatus Josephus Gouttier à Brania Allodii.","Allodii","allodii",
"9912816140101488","Præside [...] Gerardo Deckers [...] defendet Hermannus Joseph Seerwart Lyranus, ord. Præm. ecclesiæ S. Michaëlis Antverpiæ canonicus.","Antverpiae","antverpiae",
"9991656930101488",,,,
"9991812870101488",,,,
