"RecordID","orig_text_from_marc","top_used","place_id_to_join"
"9912783880101488","Defendet Joannes Franciscus Delaunoy ex Gondernie.","Gondernie","gondernie"
"9912785800101488","Defendet Joannes Guildoff ex Coüillet.","Coüillet","coüillet"
"9912788060101488","Præside [...] Petro Ignatio de Bisschop [...] defendet Franciscus Jacobus Vermeesch ex Ramscappel-Furnensis.","Ramscappel-Furnensis","ramscappelfurnensis"
"9912791790101488","Præside [...] Gerardo Deckers [...] defendet Franciscus Jacobus Vermeesch ex Ramscappel-Furnensis.","Ramscappel-Furnensis","ramscappelfurnensis"
"9912793320101488","Præside [...] Joanne vander Auwera [...] defendet Dionysius Josephus Brugghe ex Espierres.","Espierres","espierres"
"9912794380101488","Præside [...] Petro Ignatio de Bisschop [...] defendet Michael de Zeeuw ex Nieuwkuyk.","Nieuwkuyk","nieuwkuyk"
"9912795410101488","Præside ... Joanne van der Auwera ... defendet Joannes Franciscus Wauters ex Cluysen.","Cluysen","cluysen"
"9912797320101488","Præside [...] Joanne van der Auwera [...] defendet Joannes Luyten ex Meirhout, ord. Præmonst. ecclesiæ B. Mariæ & S. Joannis de Parcho canonicus.","Meirhout, ord","meirhoutord"
"9912797380101488","Præside [...] Thoma Lamberto Ghenne [...] defendet Deodatus van Herck ex Neerlanden.","Neerlanden","neerlanden"
"9912797460101488","Præside [...] Thoma Lamberto Ghenne [...] defendet Jacobus van Thienen Amersfortiensis.","Amersfortiensis","amersfortiensis"
"9912798390101488","Præside [...] Christiano Francisco Terswaek [...] defendet Joannes Baptista Mouton ex Espinois in Hannoniâ.","Espinois in Hannoniâ","espinoisinhannoniâ"
"9991647390101488","Præside [...] Joanne Josepho Guyaux [...] defendet Christianus Henricus Tulleners ex Mechelen ad Mosam.","Mechelen ad Mosam","mechelenadmosam"
"9991648090101488","Præside [...] Joanne Josepho Guyaux [...] defendet Jacobus van Coppenole ex Afsné.","Afsné","afsné"
"9991656610101488","Præside [...] Henrico van Gameren [...] defendet Petrus Jacobus du Fort ex Ledeghem.","Ledeghem","ledeghem"
"9991656780101488","Præside [...] Natale du Bois [...] defendet Petrus vande Velde ex Heyndonck.","Heyndonck","heyndonck"
"9991657050101488","Præside [...] Joanne Josepho Guyaux [...] defendet Philippus Josephus de Wever ex S. Nicolai-Wasianus.","S. Nicolai-Wasianus","snicolaiwasianus"
"9991817840101488","Præside [...] Joanne Josepho Guyaux [...] defendet Petrus Philippus van Haesendonck ex Leeuw S. Petri.","Leeuw S. Petri","leeuwspetri"
"9991818150101488","Præside [...] Joanne Josepho Guyaux [...] defendet Jacobus van Coppenole ex Afsne.","Afsne","afsne"
"9991831940101488","Præside [...] Joanne Josepho Guyaux [...] defendet Jacobus Carolus le Langue ex Acre minori.","Acre minori","acreminori"
"9991832800101488","Præside [...] Andrea Henckhuysen [...] defendet Petrus Jacobus du Fort ex Ledeghem.","Ledeghem","ledeghem"
"9915659620101488","Præside [...] Judoco Joanne Huberto Vounck [...] defendet in publico auditorio medico D. Benedictus Eugenius Blondeau ex Cruyshautem Aldenardensis. Lovanii [...] 12. januarii 1782.","Cruyshautem Aldenardensis","cruyshautemaldenardensis"
"9915659920101488","Præside [...] Judoco Joanne Huberto Vounck [...] defendet in publico auditorio medico D. Josephus Joannes Aerts ex Puurs. Lovanii [...] 7. aprilis 1781.","Puurs","puurs"
"9915660060101488","Præside [...] Martino van der Belen [...] defendet in publico auditorio medico D. Gerardus Buesen ex Zichen Eburo. Lovanii [...] 21 [?] januarii 1783.","Zichen Eburo","zicheneburo"
"9915662150101488","Præside [...] Adriano Carolo Josepho van Rossum [...] defendet in publico auditorio medico D. Ferdinandus Vyvens ex Huysse Aldenardensis. Lovanii [...] 10 [?] junii 1782.","Huysse Aldenardensis","huyssealdenardensis"
"9915664890101488","Præside [...] Adriano Carolo Josepho van Rossum [...] defendet in publico auditorio medico D. Petrus Judocus Verdickt ex Divi Ægidii Wasianus. Lovanii [...] 10. julii 1782.","Divi Ægidii Wasianus","diviægidiiwasianus"
"9915665650101488","Præside [...] Martino van der Belen [...] defendet in publico auditorio medico D. Carolus Philip. Jacob. van Innis ex Nederbraekele Alostanus. Lovanii [...] 5. aprilis 1783.","Nederbraekele Alostanus","nederbraekelealostanus"
"9915889360101488","Præside [...] Dominico Jos. Hyacintho Nelis [...] defendet die 11. octobris 1771. Joannes Ludovic. Joseph. Gillis Verzenalensis.","Verzenalensis","verzenalensis"
"9915891760101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu, præside [...] D. Philippo van Billoen [...] in publico jurium auditorio oppugnandas proponit die 29. novembris 1771. prænobilis dominus D. Joannes Carolus Josephus Ramont ex sancti Ægidii Wasianus.","sancti Ægidii Wasianus","sanctiægidiiwasianus"
"9915892400101488","Præside [...] Dominico Jos. Hyacintho Nelis [...] defendet die 4. decembris 1771. prænobilis dominus D. Philippus Theodorus Vincent. Pouppé ex Hollaeken.","Hollaeken","hollaeken"
"9915896640101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu, præside [...] Philippo van Billoen [...] in publico jurium auditorio oppugnandas proponit die 19. februarii 1772. Joannes Rutgerus Ruyters Falcoburgo-meerssensis.","Falcoburgo-meerssensis","falcoburgomeerssensis"
"9915899080101488","Præside ... Leonar. Josepho Streithagen ... defendet die 21. martii 1772. ... Paulus Franciscus Verbrugghen ex Lede Alostanus.","Lede Alostanus","ledealostanus"
"9915899540101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu, præside [...] Henrico Goessens [...] in publico jurium auditorio oppugnandas proponit die 4. aprilis 1772. reverendus amplissimus ac perillustris dominus D. Joannes Carolus de Locquenghien ecclesiæ cathedralis B.M.V. Tornaci canonicus ex Holede.","Holede","holede"
