"RecordID";"name";"role"
"9915813600101488";"de Belloy, Jean-Baptiste";"other"
"9915814780101488";"Denattes, François";"translator"
"9915836710101488";"Nelis, Cornelis Franciscus";"other"
"9915844270101488";"de Feltz, Guillaume Antoine François";"author"
"9915844270101488";"Du Four, Nicolas";"author"
"9915845470101488";"von Franckenberg, Johann Heinrich Ferdinand";"addressee"
"9915846410101488";"Albert Casimir de Saxe-Teschen";"other"
"9915846410101488";"Maria Christina";"other"
"9915852770101488";"Aristoteles";"other"
"9915886100101488";"Goessens, Henricus";"other"
"9915886100101488";"Heuschling, Joannes Petrus";"other"
"9915886100101488";"Poelsma, Joannes Martinus";"other"
"9915886100101488";"Streithagen, Leonardus Josephus";"other"
"9915886100101488";"van Billoen, Philippus";"other"
"9915952860101488";"Forcadel, Pierre";"translator"
"9916041380101488";"de Coninck, Petrus Damasus";"editor"
"9916041520101488";"de Lamargelle, Winandus";"other"
"9916041520101488";"Quellinus, Erasmus";"other"
"9916041520101488";"Rucholle, Peeter";"engraver"
"9916132840101488";"Henry";"dedicatee"
"9916132840101488";"Vives, Juan Luis";"editor"
"9916141850101488";"Everart, Marten";"translator"
"9916168530101488";"Streyters, Arnoldus";"dedicatee"
"9916177850101488";"Moring, Gerhard";"contributor"
"9916177850101488";"Giovio, Paolo";"contributor"
"9916177850101488";"Van Toll, Abraham Arnout";"eulogist"
"9916177850101488";"Goeree, Jan";"illustrator"
"9916177850101488";"Wandelaar, Jan";"illustrator"
"9916177850101488";"Houbraken, Jacob";"illustrator"
"9916177850101488";"Ubingh, Isaac";"dedicatee"
"9916177850101488";"van Mansvelt, Johannes Petrus";"dedicatee"
"9916243400101488";"Cybo-Malaspina, Alberico";"patron"
"9916250010101488";"Bogaert, Hendrik.";"translator"
"9916271390101488";"Justinianus";"other"
"9916271390101488";"Hopperus, Joachimus";"editor"
"9916271510101488";"Cathelinaeus, Franciscus";"other"
"9916272160101488";"Sanderus, Antonius";"eulogist"
"9916272160101488";"Meyer, Philippe";"contributor"
"9916272160101488";"Castellanus, Petrus";"dedicatee"
"9916272160101488";"Corselius, Gerard";"dedicatee"
"9916272160101488";"Fromondus, Libertus";"dedicatee"
"9916272160101488";"Puteanus, Erycius";"dedicatee"
"9916272160101488";"de Caverel, Philippe";"dedicatee"
"9916281000101488";"Braun, Georg";"editor"
"9916291700101488";"Baxius, Nicasius";"eulogist"
"9916291700101488";"Beyerlinck, Laurentius";"eulogist"
"9916291700101488";"Bonciarius, Marcus Antonius";"contributor"
"9916291700101488";"Divaeus, Petrus";"other"
"9916291700101488";"Gaukema, Gauko";"eulogist"
"9916291700101488";"Lernutius, Janus";"other"
"9916291700101488";"Rodoan, Carolus Philippus";"dedicatee"
"9916291700101488";"Sweerts, Pierre François";"editor"
"9916291700101488";"Dousa, Janus";"other"
"9916291700101488";"Vrientius, Maximus Aemylianus";"eulogist"
"9916323440101488";"Tacitus, Cornelius";"other"
"9916323440101488";"de Croÿ, Charles";"dedicatee"
"9916346980101488";"de Puisieux, Philippe-Florent";"translator"
"9916348730101488";"Capitaine, Ulysse";"editor"
"9916351830101488";"Kipping, Heinrich";"author"
"9916351830101488";"Lipsius, Justus";"author"
"9916370230101488";"Hals, Jodocus";"author"
"9916370230101488";"Melchior, J.F.";"author"
"9916370230101488";"Van Espen, Zeger Bernard";"author"
"9916370230101488";"Bauwens, Amandus";"author"
"9916388800101488";"Nicephorus Callistus Xanthopulus";"other"
"9916417360101488";"Nannius, Petrus";"translator"
"9916417360101488";"Ramus, Johann";"other"
"9916417360101488";"Valerius, Cornelius";"other"
"9916417710101488";"Lipsius, Justus";"editor"
"9916425270101488";"de la Motte, Pierre";"translator"
"9916434030101488";"Aalst, Johannes";"dedicatee"
"9916434030101488";"de Reus, Antoni";"translator"
"9916434030101488";"Steenwinkel, Paulus";"dedicatee"
"9916606270101488";"Isabella Clara Eugenia";"dedicatee"
"9916608760101488";"Leopold Filips van Arenberg";"dedicatee"
"9916623660101488";"Canisius, Petrus";"editor"
"9916623660101488";"Vittori, Mariano";"other"
"9916677600101488";"de Feller, François-Xavier";"other"
"9916677600101488";"Fagnani, Prospero";"other"
"9916805520101488";"Musculus, Wolfgang";"translator"
"9916805520101488";"Nannius, Petrus";"editor"
"9916805520101488";"Perrenot de Granvelle, Antoine";"other"
"9916833840101488";"Karel van Lotharingen";"other"
"9916833840101488";"de Reul, Th.";"other"
"9916928400101488";"de la Motte, Pierre";"contributor"
"9916966020101488";"de Dobbeleer, Peeter";"contributor"
"9916997160101488";"Puteanus, Erycius";"addressee"
"9916997160101488";"Zapata de Valtierra, Lope";"dedicatee"
"9917023190101488";"George van Egmond";"dedicatee"
"9917023190101488";"Erasmus Roterodamus, Desiderius";"contributor"
"9917024560101488";"Loher a Stratis, Theodoricus";"author"
"9917024560101488";"Houghton, John";"author of introduction, etc."
"9917024560101488";"Alardus Amstelredamus";"other"
"9917024560101488";"Scheve, Heinrich";"other"
"9917097450101488";"Antesignanus, Petrus";"editor"
"9917097450101488";"Priamus, Flaminius";"contributor"
"9917120710101488";"Nannius, Petrus";"translator"
"9917147290101488";"Pius";"contributor"
"9917169640101488";"Bruno, Christoph";"editor"
"992230190101488";"Stadius, Joannes";"editor"
"992341420101488";"de Thou, Jacques Auguste";"dedicatee"
"992391020101488";"Baudius, Dominicus";"eulogist"
"992391130101488";"Costerius, Joannes";"editor"
"992497980101488";"de Raisse, Arnould";"author"
"992497980101488";"Molanus, Joannes";"author original work"
"992497980101488";"Fremin, Petrus";"eulogist"
"992497980101488";"Gerardus Eligius";"eulogist"
"992497980101488";"van Hoye, André";"contributor"
"992497980101488";"Roberti, Joannes";"dedicatee"
"992542040101488";"Alciati, Andrea";"author"
"992542040101488";"Fiocco, Andrea Domenico";"author"
"992542040101488";"Lipsius, Justus";"author"
"992542040101488";"Maffei, Raffaele";"author"
"992542040101488";"Manninck, Pieter.";"author"
"992542040101488";"Ovidius Naso, Publius";"author"
"992542040101488";"Pomponius Laetus, Julius";"author"
"992542040101488";"Schrijver, Pieter";"compiler"
"992542040101488";"Vauchopius, Georgius";"author"
"992542040101488";"Wilhelm, Johann";"author"
"992620650101488";"de Vendeville, Jean";"author"
"992620650101488";"Tuldenus, Diodorus";"author"
"992620650101488";"von Heymbach, Bernhard";"author"
"992633660101488";"Vernulaeus, Nicolaus";"author"
"992633660101488";"von Heymbach, Bernhard";"author"
"992633660101488";"de Baillencourt, François";"dedicatee"
"992646360101488";"Lipsius, Justus";"annotator"
"992646360101488";"Pighius, Stephanus";"editor"
"992658140101488";"Argyropoulos, Johannes";"editor"
"992658140101488";"Vatablus, Franciscus";"editor"
"992747560101488";"Froye, Jacques";"editor"
"992747560101488";"Philicinus, Petrus";"eulogist"
"992747560101488";"Doulletus, Quirinus";"dedicatee"
"992747560101488";"de Berghes, Maximilien";"dedicatee"
"992747560101488";"Metsius, Laurentius";"censor"
"992762840101488";"Chauvin, Victor";"author"
"992762840101488";"Roersch, Alphonse";"author"
"992784390101488";"Curtius, Cornelius";"author"
"992784390101488";"Rivius, Joannes";"author"
"992784390101488";"Maes, Joannes Baptista";"dedicatee"
"992784390101488";"Corselius, Gerard";"dedicatee"
"992825160101488";"Gracilis, Stephanus";"editor"
"992911120101488";"Cranach, Lucas";"engraver"
"992967710101488";"de la Torre, I.";"approbation"
"992967710101488";"Tapperus, Ruardus";"approbation"
"993173750101488";"Paulus Diaconus Epitomator";"contributor"
"993173750101488";"Bessin, Guillaume";"editor"
"993173750101488";"Carafa, Antonio";"contributor"
"993173750101488";"de Sainte-Marthe, Denis";"editor"
"993173750101488";"Ménard, Nicolas Hugues";"editor"
"993173750101488";"Pétis de la Croix, Barthélemy";"editor"
"993173750101488";"Hallé, Claude-Guy";"illustrator"
"993173750101488";"Ertinger, Franz";"engraver"
"993173750101488";"Pitau, Nicolas";"engraver"
"993173750101488";"Clemens";"dedicatee"
"993173750101488";"du Plessis, Armand-Jean";"dedicatee"
"993173750101488";"Fremont, F.L.";"approbation"
"993173750101488";"Tarisse, Gregoire";"approbation"
"993173750101488";"Mabillon, Jean";"dedicatee"
"993173750101488";"Louis";"approbation"
"993173750101488";"Boistard, Claude";"approbation"
"993268250101488";"Vossius, Lambert";"contributor"
"993371870101488";"du Val, Jacques";"dedicatee"
"993467750101488";"Isabella Clara Eugenia";"dedicatee"
"993467750101488";"Bolswert, Schelte";"illustrator"
"993467750101488";"Collaert, Jan";"illustrator"
"993467750101488";"van Veen, Otto";"illustrator"
"993467750101488";"Vrients, Joannes Baptista";"illustrator"
"993467750101488";"Beyerlinck, Laurentius";"approbation"
"993467750101488";"de Witte";"approbation"
"993571560101488";"Lipsius, Justus";"editor"
"993571560101488";"Velleius Paterculus";"author"
"993571560101488";"Van den Wouwer, Jan";"contributor"
"993571560101488";"Doeza, Janus";"eulogist"
"993571560101488";"Albrecht";"dedicatee"
"993571560101488";"De Leew, Theodorus";"dedicatee"
"993571560101488";"Maximilian";"dedicatee"
"993571560101488";"Fabricius, Gulielmus";"approbation"
"993571560101488";"de Croÿ, Charles Alexandre";"dedicatee"
"993571560101488";"Rudolf";"approbation"
"993571560101488";"Kurtz von Senftenau, Jakob";"approbation"
"993571560101488";"Barwitz, Johann Anton";"approbation"
"993571560101488";"Felipe";"approbation"
"993571560101488";"Verreycken, Lodewijk";"approbation"
"993571560101488";"Henri";"approbation"
"993571560101488";"Perrochel";"approbation"
"993571680101488";"Lipsius, Justus";"editor"
"993571680101488";"Van den Wouwer, Jan";"contributor"
"993571680101488";"Doeza, Janus";"eulogist"
"993571680101488";"Albrecht";"dedicatee"
"993571680101488";"De Leew, Theodorus";"dedicatee"
"993571680101488";"Maximilian";"dedicatee"
"993571680101488";"Fabricius, Gulielmus";"approbation"
"993571680101488";"de Croÿ, Charles Alexandre";"dedicatee"
"993571680101488";"Rudolf";"approbation"
"993571680101488";"Kurtz von Senftenau, Jakob";"approbation"
"993571680101488";"Barwitz, Johann Anton";"approbation"
"993571680101488";"Felipe";"approbation"
"993571680101488";"Verreycken, Lodewijk";"approbation"
"993571680101488";"Henri";"approbation"
"993571680101488";"Perrochel";"approbation"
"993571680101488";"Felipe";"approbation"
"993571680101488";"Steenhuysen";"approbation"
"993571680101488";"Velleius Paterculus";"author"
"993571890101488";"Lipsius, Justus";"editor"
"993571890101488";"de Muret, Marc-Antoine";"annotator"
"993571890101488";"Junius, Hadrianus";"annotator"
"993571890101488";"Rhenanus, Beatus";"annotator"
"993571890101488";"Le Fèvre, Nicolas";"annotator"
"993571890101488";"Henri";"approbation"
"993571890101488";"Perrochel";"approbation"
"993571890101488";"Paulus";"dedicatee"
"993572110101488";"Gronovius, Johannes Fredericus";"annotator"
"993572110101488";"Lipsius, Justus";"annotator"
"993572110101488";"del Rio, Martin Anton";"annotator"
"993572110101488";"Gruterus, Janus";"annotator"
"993572110101488";"Commelinus, Hieronymus";"annotator"
"993572110101488";"Scaliger, Josephus Justus";"annotator"
"993572110101488";"Heinsius, Daniel";"annotator"
"993572110101488";"Heinsius, Nicolaas";"annotator"
"993572110101488";"Farnaby, Thomas";"annotator"
"993572110101488";"Grotius, Hugo";"annotator"
"993572110101488";"Schröder, Johann Caspar";"editor"
"993572110101488";"Dubourg, Louis-Fabricius";"illustrator"
"993572110101488";"Ottens, Frederik";"engraver"
"993572110101488";"Bernards, Balthasar";"engraver"
"993572110101488";"Slicher, Joannes";"dedicatee"
"993572110101488";"Hooft, Gulielmus";"dedicatee"
"993572110101488";"van Assendelft, Adrianus";"dedicatee"
"993572110101488";"Van der Dussen, Arend";"dedicatee"
"993572110101488";"van Hoornbeek, Henricus";"dedicatee"
"993572110101488";"van der Dussen, Ewaldus";"dedicatee"
"993572110101488";"van Kinschot, Gasparus";"dedicatee"
"993572110101488";"Gribius, Petrus";"dedicatee"
"993572110101488";"von der Pfalz, Karl Ludwig";"dedicatee"
"993575860101488";"Rudolf";"approbation"
"993575860101488";"von Bayern, Ernst";"dedicatee"
"993575860101488";"Cuyckius, Henricus";"approbation"
"993575860101488";"Kurtz von Senftenau, Jakob";"approbation"
"993575860101488";"Barwitz, Johann Anton";"approbation"
"993575860101488";"de Grimaldi, S.";"approbation"
"993575860101488";"de Busschere, I.";"approbation"
"993615820101488";"Maximilian";"dedicatee"
"993615820101488";"Lipsius, Justus";"annotator"
"993615820101488";"Mercier, Josias";"annotator"
"993616560101488";"Albrecht";"dedicatee"
"993616560101488";"Rudolf";"approbation"
"993616560101488";"Felipe";"approbation"
