264_a	n	modern_name	fm_place_id	geonames_id	wikidata_id	notes
Lovanii	940	Leuven	2			
Antverpiæ	302	Antwerp	26			
[place of publication not identified]	214					
Parisiis	154	Paris	495			
[lieu de publication inconnu]	137					
Lvgdvni	90	Leiden	5004			
Antverpiae	80		26			
Coloniæ	74	Köln	737			Surprised it's not in the DB already, should check
Venetiis	61	Venice	8273			Add coordinates to FM
Leodii	56	Liege	392			
[plaats van uitgave onbekend]	55					
Bruxellis	54	Brussels	116			
Coloniae Agrippinae	52	Köln	737	2886242	Q365	Surprised it's not in the DB already, should check
Coloniæ Agrippinæ	48	Köln	737	2886242	Q365	Surprised it's not in the DB already, should check
Basileae	45	Basel	1297			
A Louvain	44	Leuven	2			
Tot Loven	44	Leuven	2			
[Leuven]	44	Leuven	2			
Lvgdvni Batavorvm	43	Leiden	5004			
Louanij	30	Leuven	2			
Amstelodami	29	Amsterdam	17			
Coloniae	29	Köln	737	2886242	Q365	Surprised it's not in the DB already, should check
[Paris]	29	Paris	495			
Basileæ	28	Basel	1297			
Lugduni	28	Leiden	5004			
A Bruxelles	27	Brussels	116			
A Paris	26	Paris	495			
[Antwerpen]	22	Antwerp	26			
Bruxelles	21	Brussels	116			
Francofvrti	21	Frankfurt am Main	3255			I'm guessing it's am Main as much more likely to be place of publication of books, but it is only a guess. Check
Prostant Lovanii	21	Leuven	2			
Romæ	20	Rome	740			
Antuerpiæ	19	Antwerp	26			
Argentorati	19	Strasbourg		2826178	Q6602	Check?
	19					
Dvaci	18	Douai	2729			
Lugduni Batavorum	17	Leiden	5004			
Gandavi	16	Gent	225			
Lovanij	15	Leuven	2			
t'Antwerpen	15	Antwerp	26			
Mechliniæ	14	Mechelen	409			
Louvain	13	Leuven	2			
Lvtetiae	13	Paris	495			Need to check this one
Louanii	12	Leuven	2			
Francofurti	11	Frankfurt am Main	3255			I'm guessing it's am Main as much more likely to be place of publication of books, but it is only a guess. Check
Hanoviæ	11					Could be Hannover OR Hanau. Check
Paris	11	Paris	495			
Lvtetiæ	10	Paris	495			Need to check this one
Tot Brussel	10	Brussels	116			
A Anvers	9	Antwerp	26			
Amsterodami	9	Amsterdam	17			
Lipsiae	9	Leipzig		2879139	Q2079	
Londini	9	London	5264			Should add coordinates and geonames etc.
[Lyon]	9	Lyon	5364			
[place of manufacture not identified]	9					
Brvxellæ	8	Brussels	116			
Mediolani	8	Milan	5775			
Venetijs	8	Venice	8273			
[Bruxelles]	8	Brussels	116			
t' Amsterdam	8	Amsterdam	17			
Mogvntiæ	7	Mainz	5409			
Rothomagi	7	Rouen	7150			
S.l.	7					
[Köln]	7	Köln	737	2886242	Q365	Surprised it's not in the DB already, should check
Antwerpen	6	Antwerp	26			
Bruxellæ	6	Brussels	116			
En Valencia	6	Valencia	8175			Should check
Et Bruxellis	6	Brussels	116			
Francofvrdi	6	Frankfurt am Main	3255			
In Venezia	6	Venice	8273			
[Brussel]	6	Brussels	116			
[Genève]	6	Geneva	3400			
A Gand	5	Gent	225			
A Lille	5	Lille	375			
Amstelædami	5	Amsterdam	17			
Arnhemii	5	Arnhem	28			
Brugis	5	Bruges	114			
Delphis	5	Delft	154			
In Roma	5	Rome	740			
