856_z,project_fm_id
USTC,17
Universiteitsbibliotheek Gent,NA
STCV,18
Koninklijke Bibliotheek van Nederland,NA
Bayerische Staatsbibliothek,NA
Servizio Bibliotecario Nazionale,NA
Verzeichnis der im deutschen Sprachbereich erschienenen Drucke des 16. Jahrhunderts,NA
Universidad Complutense de Madrid,NA
Biblioteca nazionale centrale di Roma,NA
Biblioteca nacional de España,NA
The British Library,NA
Bibliothèque municipale de Lyon,NA
Biblioteca nacional de Portugal,NA
Tilburg University Library,NA
Bibliothèque nationale de France,15
Universiteit Antwerpen,NA
National Library of the Czech Republic,NA
Das Verzeichnis der im deutschen Sprachraum erschienenen Drucke des 17. Jahrhunderts,NA
Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden,NA
Österreichische Nationalbibliothek,NA
Universitätsbibliothek Basel,NA
Université de Lausanne,NA
Universitätsbibliothek Bern,NA
University of Oxford,NA
Princeton University,NA
Biblioteca universitaria Alessandrina Roma,NA
Biblioteca di Cremona,NA
Biblioteca universitaria di Torino,NA
Henry E. Huntington Library and Art Gallery,NA
Biblioteca nazionale centrale di Firenze,NA
Universitäts- und Landesbibliothek Sachsen-Anhalt,NA
Bibliothèque de Genève,NA
Universitäts- und Stadtbibliothek Köln,NA
Biblioteca Casanatense Roma,NA
Universiteitsbibliotheek Amsterdam,NA
Biblioteca Casanatense di Roma,NA
Biblioteca nazionale di Napoli,NA
Biblioteca de Catalunya,NA
Museum Plantijn-Moretus,NA
Columbia University,NA
Staats- und Stadtbibliothek Augsburg,NA
Herzog August Bibliothek Wolfenbüttel,NA
Maastricht University Library,NA
Staatsbibliothek zu Berlin,NA
Museum Plantin-Moretus,NA
Dolnośląska Biblioteka Cyfrowa,NA
Museum Plantin Moretus,NA
Universiteitsbibliotheek Leiden,NA
Thüringer Universitäts- und Landesbibliothek Jena,NA
Universiteit Gent,NA
Universität Luzern,NA
Tresoar,NA
Centre Céramique Maastricht,NA
Sapienza - Università di Roma,NA
Universiteitsbibliotheek Nijmegen,NA
University of Michigan,NA
ETH-Bibliothek Zürich,NA
Biblioteca Angelica Roma,NA
Biblioteca Statale di Cremona,NA
Erfgoedbibliotheek Hendrik Conscience Antwerpen,NA
Erfgoedbibliotheek Hendrik Conscience,NA
Bibliothèque municipale de Lyon,NA
Universiteitsbibliotheek Groningen,NA
Oxford University,NA
University of California,NA
Universitätsbibliothek Paderborn,NA
Ohio State University,NA
Bodleian Library,NA
Bayersiche Staatsbibliothek,NA
University of Wisconsin-Madison Libraries,NA
Bibliothèque Municipale de Lyon,NA
Niedersächsische Staats- und Universitätsbibliothek Göttingen,NA
Universitäts- und Landesbibliothek Düsseldorf,NA
Staatliche Bibliothek Regensburg,NA
Universiteit Utrecht,NA
Harvard Library,NA
Biblioteca Nacional de España,NA
Zentralbibliothek Zürich,NA
Universitätsbibliothek Freiburg,NA
Universitätsbibliothek Heidelberg,NA
Staatsbibliothek Bamberg,NA
Cambridge University Library,NA
Biblioteca de Montserrat,NA
Universitätsbibliothek Leipzig,NA
This edition in STCN,NA
Bayerische Staatsbibliothek (State A),NA
Bayerische Staatsbibliothek (state A),NA
UCLouvain,NA
Biblioteca Pública Episcopal del Seminari Conciliar de Barcelona,NA
Tilburg University Library (state B),NA
National Library of Israel,NA
Universiteitsbibliotheek Gent (state A),NA
Biblioteca Valenciana Digital,NA
Universidad Complutense de Madrid (state A),NA
Folger Shakespeare Library,NA
Bibliotheque municipale de Lyon,NA
Biblioteca Valenciana,NA
New York Public Library,NA
Bibliotheek Universiteit Antwerpen,NA
Duke University,NA
National Library of Romania,NA
Biblioteka Narodowa,NA
University of Illinois,NA
