"descriptor","Place_ID","place_standard"
"a Amersfort","916","Amersfoort"
"a Arsa","1072","Arsa"
"a Avesnis","1169","Avesnes"
"a Baersdorp","1193","Baarsdorp"
"a Baliolo","1217","Bailleul"
"a Balliolo","1217","Bailleul"
"a Banssierk","1257","Banssierk"
"a Bapamis","1326","Batpalmen"
"a Barbentino","1264","Barbentino"
"a Bariolo","1275","Bariolo"
"a Barlemont","0",""
"a Bassea","1305","Basse"
"a Bassenheijm","1309","Bassenheim"
"a Bastico","1318","Bastico"
"a Bastonia","1317","Bastenaken"
"a Bavaco Hannonie","1341","Bavik"
"a Bavenis","1339","Bavenis"
"a Bayrelaymont","1490","Berlaimont"
"a Beets","217","Geetbets"
"a Beien","0",""
"a Beldersen","1403","Beldersen"
"a Bellemonte","46","Beaumont"
"a Bello Rivo","1355","Beaurieux"
"a Bellomonte","46","Beaumont"
"a Belloramo","47","Beauraing"
"a Bellorivo","1355","Beaurieux"
"a Bensonraed","1447","Bensonraed"
"a Berchin","1457","Berchin"
"a Berck","1487","Berk"
"a Beren","1467","Beren"
"a Bergis","61","Mons"
"a Bergis divi Guinoci","7553","Sint-Winoksbergen"
"a Beringhen","63","Beringen"
"a Bers","1511","Bers"
"a Bethunia","1546","Béthune"
"a Betunia","1557","Betun"
"a Bicken","1583","Bicken"
"a Biersée","1596","Biercée"
"a Binchio","77","Binche"
"a Bincio","77","Binche"
"a Blankeberck","1653","Blankenberge"
"a Blisia","76","Bilzen"
"a Blitterswick","1676","Blitterswijck"
"a Blitterwijck prope opidum Geldrensem","1676","Blitterswijck"
"a Bomalia","1744","Bomal"
"a Bonavilla","0",""
"a Borgundia","1860","Bourgondië"
"a Borsuto","1815","Borsu"
"a Bossuto","1829","Bossut-Gottechain"
"a Bovinia","1884","Bouvignes-sur-Meuse"
"a Brania Allodia","178","Eigenbrakel"
"a Brania Allodii","178","Eigenbrakel"
"a Brania Allodij","178","Eigenbrakel"
"a Brania Allodius","178","Eigenbrakel"
"a Brania Alodii","178","Eigenbrakel"
"a Brania Alodij","178","Eigenbrakel"
"a Brania Castri","323","Kasteelbrakel"
"a Brania Comitis","7206","'s-Gravenbrakel"
"à Brania Comitis","7206","'s-Gravenbrakel"
"a Brania Comitum","7206","'s-Gravenbrakel"
"a Brania-Comitis","7206","'s-Gravenbrakel"
"a Braniacomitis","7206","'s-Gravenbrakel"
"a Branio Comitis","7206","'s-Gravenbrakel"
"a Brechinia","1930","Brechin"
"a Brecht","1932","Brecht"
"a Breda","108","Breda"
"a Brilis","1959","Brielle"
"a Brouwershave","1986","Brouwershaven"
"a Brouwershaven","1986","Brouwershaven"
