"descriptor","place_id_fk"
"a Amersfort","916"
"a Arsa","1072"
"a Avesnis","1169"
"a Baersdorp","1193"
"a Baliolo","1217"
"a Balliolo","1217"
"a Banssierk","1257"
"a Bapamis","1326"
"a Barbentino","1264"
"a Bariolo","1275"
"a Bassea","1305"
"a Bassenheijm","1309"
"a Bastico","1318"
"a Bastonia","1317"
"a Bavaco Hannonie","1341"
"a Bavenis","1339"
"a Bayrelaymont","1490"
"a Beets","217"
"a Beien","0"
"a Beldersen","1403"
"a Bellemonte","46"
"a Bello Rivo","1355"
"a Bellomonte","46"
"a Belloramo","47"
"a Bellorivo","1355"
"a Bensonraed","1447"
"a Berchin","1457"
"a Berck","1487"
"a Beren","1467"
"a Bergis","61"
"a Bergis divi Guinoci","7553"
"a Beringhen","63"
"a Bers","1511"
"a Bethunia","1546"
"a Betunia","1557"
"a Bicken","1583"
"a Biersée","1596"
"a Binchio","77"
"a Bincio","77"
"a Blankeberck","1653"
"a Blisia","76"
"a Blitterswick","1676"
"a Blitterwijck prope opidum Geldrensem","1676"
"a Bomalia","1744"
"a Bonavilla","0"
"a Borgundia","1860"
"a Borsuto","1815"
"a Bossuto","1829"
"a Bovinia","1884"
"a Brania Allodia","178"
"a Brania Allodii","178"
"a Brania Allodij","178"
"a Brania Allodius","178"
"a Brania Alodii","178"
"a Brania Alodij","178"
"a Brania Castri","323"
"a Brania Comitis","7206"
"à Brania Comitis","7206"
"a Brania Comitum","7206"
"a Brania-Comitis","7206"
"a Braniacomitis","7206"
"a Branio Comitis","7206"
"a Brechinia","1930"
"a Brecht","1932"
"a Breda","108"
"a Brilis","1959"
"a Brouwershave","1986"
"a Brouwershaven","1986"
"a Brugis","114"
"a Bruhesen","1994"
"a Bruwershaven","1986"
"a Bruxella","116"
"a Bruxellis","116"
"a Bueren","2047"
"a Bulo","2038"
"a Burgundia","1860"
"a Busco","0"
"a Buscoducis","546"
"a Buxodio","2091"
"a Cacobo","4762"
"a Calido Monte","2249"
"a Cambrona","129"
"a Cameraco","317"
"a Campis","4719"
"a Capella","2140"
"a Caprick","321"
"a Caprycke","321"
"a Carnito","2233"
"a Carolo Regius","132"
"a Carvinio","2163"
"a Casleto","322"
"a Castelleto","2244"
"a Castello","0"
"a Castro","0"
"a Cenaco","2293"
"a Cennaco","2293"
"a Chimaco","135"
"a Cinaco","2293"
"a Cloetingis","4789"
"a Colonia","737"
"a Columbergk","2341"
"a Confluentia","4795"
"a Corswarema","2400"
"a Cortraco","336"
"a Courseel","4798"
"a Coursel","4798"
"a Cronenborch","2471"
"a Curia","300"
"a Curte Sancti Stephani","2434"
"a Curtraco","336"
"a Dario","2553"
"a Daventria","2628"
"a Delfft","154"
"a Delft","154"
"a Diessen","2645"
"a Diest","162"
"a Dijst","162"
"a Dislinga","0"
"a Dist","162"
"a Dixmuda","164"
"a Dockom","0"
"a Donc","2708"
"a Doornen","2711"
"a Dordraco","2713"
"a Doveren","2738"
"a Duaco","2729"
"a Duemkerke","172"
"a Duynkerken","172"
"a Flobecca","8468"
"a Floberca","8468"
"a Florberca","8468"
"a Fontanis","3198"
"a Fontibus","0"
"a Fontibus Campiensis","0"
"a Fontibus Episcopi","203"
"a Foribus Episcopi","203"
"a Frainker","206"
"a Fraxinis","208"
"a Frens","3276"
"a Friburga","3269"
"a Furnis","643"
"a Gandavo","225"
"a Gauda","3621"
"a Gedenia","3341"
"a Geldonia","218"
"a Geldria","3361"
"a Gemblaco","3385"
"a Gemert","223"
"a Geneffia","313"
"a Gentinia","3414"
"a Gerardimonte","227"
"a Geveto","3504"
"a Gheele","215"
"a Gheldonia","218"
"a Ghent","225"
"a Ghissen","3475"
"a Gineto","3504"
"a Giveto","3504"
"a Godsenhoven","3553"
"a Goes","3550"
"a Goetsenhoven","3553"
"a Gondelzheynen","3578"
"a Gorcum","238"
"a Grandimonte","3666"
"a Gravia","3680"
"a Grimberghen","244"
"a Groeninga","245"
"a Groninga","245"
"a Gruninga","245"
"a Grymbergen","244"
"a Gutschoven","3773"
"a Gynghelen","234"
"a Ham","3837"
"a Hispen Inferiore","6081"
"a Jamblaco","4625"
"a Joannis Villa","0"
"a Juvieto","4707"
"a Kermpt","327"
"a Kwetus","4850"
"a Kysenberch","4851"
"a Lammershage","4897"
"a Landeli","4910"
"a Lanscroen","4931"
"a Leedio","0"
"a Leidis","5004"
"a Lembecke","5022"
"a Lennaco","5031"
"a Lens","362"
"a Leodio","392"
"a Lestinis","364"
"a Leydis","5004"
"a Lichthensain","5100"
"a Lieuwardia","4995"
"a Lint","5177"
"a Lintris Inferiori","449"
"a Lira","5190"
"a Lishout","5113"
"a Loenhout","5245"
"a Logio","5247"
"a Loinen","5249"
"a Lommel","5259"
"a Lonchin","5260"
"a Longo Prato","0"
"a Loon","5281"
"a Loonbeke","5282"
"a Lorich","5291"
"a Lovanio","2"
"a Lubeka","5321"
"a Lueto","5330"
"a Luijdis","5332"
"a Lutosa","367"
"a Luxenburgo","5355"
"a Lyrop","5111"
"a Magno Ramo","0"
"a Malbodio","5565"
"a Maldegien","399"
"a Manilio Sancti Blasii","5732"
"a Marbasio","5464"
"a Marca","5515"
"a Marillis","5511"
"a Marollis","5525"
"a Martia","5531"
"a Marts Hanonie","61"
"a Mechilinia","409"
"a Mechlia","409"
"a Mechlinia","409"
"a Melain","5651"
"a Meldaert","5640"
"a Melsen","5664"
"a Merwen","5722"
"a Mesche","5724"
"a Messelbron","5734"
"a Metis","5744"
"a Meyssenhausen","5745"
"a Middelborgo","425"
"a Middelburgho","425"
"a Middelburgo","425"
"a Minori villa","5721"
"a Miselen","5795"
"a Monfort","5906"
"a Monte dive Gertrudis","216"
"a Monte Sancti Guberti","5888"
"a Monte Sancti Gwinnoci","7553"
"a Montessaio","5904"
"a Montfort","5905"
"a Montibus","61"
"a Montibus Hannonie","61"
"a Montibus Hannonis","61"
"a Montibus Hanonie","61"
"a Morenco","5938"
"a Mortassart","5957"
"a Mumerscha","6001"
"a Namorco","445"
"a Namurco","0"
"a Nbasseya","1304"
"a Nieudorp","0"
"a Nieuroi","6167"
"a Nivella","457"
"a Nordewyck","462"
"a Nova Villa","451"
"a Novem Domibus","6123"
"a Novilia","6242"
"a Novo Castro","6122"
"a Pepingen","6629"
"a Peruveto","500"
"a Perve","500"
"a Perveto","6646"
"a Perweto","6646"
"a Pessundo","6654"
"a Phaen","0"
"a Poeppel","6760"
"a Ponto Romano","6745"
"a Poperingis","508"
"a Poroyen","6717"
"a Posnania","6767"
"a Prellis","6786"
"a Quarceto","6840"
"a Querceto","6840"
"a Quercu","6836"
"a Rabenneck","6851"
"a Raittnon","6860"
"a Rammeurs","6865"
"a Renes","6932"
"a Riethen","7004"
"a Riethoven","7005"
"a Rinino","7035"
"a Roderdamis","537"
"a Rodio","353"
"a Roosendael","7166"
"a Rosenbach","7121"
"a Rothenaco","533"
"a Rothnaco","533"
"a Rothonaco","533"
"a Rotornaco","533"
"a Rupe Forti","7055"
"a Rupeforti","7055"
"a Ruperforti","7055"
"a Salinis","7276"
"a Salsbroeck","7283"
"a Sambeck","7291"
"a Sancto Amando","7220"
"a Sancto Andrea","7221"
"a Sancto Claudio","7226"
"a Sancto Gerardo","7233"
"a Sancto Germano","548"
"a Sancto Ghisleno","549"
"a Sancto Gisleno","549"
"a Sancto Hubero","550"
"a Sancto Huberto","550"
"a Sancto Martino","7243"
"a Sancto Nicolao","571"
"a Sancto Odomaro","574"
"a Sancto Trudone","580"
"a Scharpsfonstein","7344"
"a Schoenhovia","7375"
"a Schonenburch","7371"
"a Schouwenborch","7386"
"a Scoondijcke","7374"
"a Scoonhovia","7375"
"a Seckendorff","7408"
"a Septem Fontibus","7441"
"a Serine","7448"
"a Sichenis","9032"
"a Siriczee","9034"
"a Sirixzee","9034"
"a Sneca","7591"
"a Sonegis","714"
"a Soulmoy","0"
"a Sto Georgio Winck","7515"
"a Sto Gerardo","7233"
"a Sto Huberto","550"
"a Stockem","7762"
"a Stryp","7792"
"a Stunica","7793"
"a Superiori Itter","6420"
"a Svollis","9086"
"a Swartenborch","9079"
"a Swollis","9086"
"a Sychenis","9032"
"a Synaco","2293"
"a Templuvia","7867"
"a Teneramonda","156"
"a Teneramondia","156"
"a Teneramunda","156"
"a Thenis","621"
"a Tielroe","7965"
"a Tiledo","7973"
"a Tileto","620"
"a Tongerlia","8017"
"a Tongerloz","8019"
"a Torebasio Sancti Trudonis","7939"
"a Tornaco","168"
"a Trajecto","635"
"a Trajecto Inferiori","635"
"a Trajecto super Mosam","397"
"a Trajecto superiore","397"
"a Trajecto Superiori","397"
"a Treveris","8080"
"a Tudionio","619"
"a Twento","8126"
"a Uveto","8164"
"a Valcuria","8595"
"a Valencenis","637"
"a Valenchenis","637"
"a Vallencenis","637"
"a Varschavia","8678"
"a Vasnystet","8212"
"a Veersel","8224"
"a Vellem","8250"
"a Verduno","8291"
"a Vessem","8329"
"a Veteri Busco","6518"
"a Vianen","8336"
"a Villanio","8387"
"a Villario Episcopi","8384"
