"RecordID","orig_text_from_marc","last_word","place_fm_id_found"
"9912787050101488","Defendet Josephus Arnoldus Swysen Lyranus.","lyranus",3
"9912789330101488","Præside [...] Joanne van der Auwera [...] defendet Adrianus van Hoeck Helmondanus.","helmondanus",271
"9912789510101488","Præside [...] Christiano Francisco Terswaek [...] defendet Leonardus Thomas Theunissen Ruræmundanus.","ruraemundanus",531
"9912796990101488","Præside [...] Joanne van der Auwera [...] defendet Joannes Petrus Theodorus Stappers Mosæ-trajectinus.","mosaetrajectinus",397
"9912797530101488","Præside [...] Gerardo Deckers [...] defendet Joannes Godefridus Franssen Mosæ-Trajectinus.","mosaetrajectinus",397
"9912798980101488","Præside [...] Joanne van der Auwera [...] defendet Joannes Albertus Lemmens Ruræmundanus.","ruraemundanus",531
"9989045800101488","Præside [...] D. Henrico Goessens [...] defendet die 28. julii 1775. Joannes Libertus Simon de Froidmont Leodius.","leodius",392
"9989056780101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu præside [...] D. Dominico Josepho Hyacintho Nelis [...] in publico jurium auditorio oppugnandas proponit die 11. decembris 1775. Paulus Augustinus Maghe Episcopo Fontanus.","fontanus",203
"9989056800101488","Quas conclusiones, pro adipiscendo J.U. licentiæ gradu præside [...] D. Henrico Goessens [...] in publico jurium auditorio oppugnandas proponit die 12. decembris 1775. prænobilis dominus D. Carolus Franciscus Josephus de Iturrieta ubique-natus.","ubiquenatus",0
"9989059690101488","Præside [...] D. Joanne Petro Heuschling [...] defendet die 2. maii 1776. prænobilis dominus D. Joannes Baptista Carolus Delossy de Warmée ubique-natus.","ubiquenatus",0
"9989061570101488","Præside [...] D. Henrico Goessens [...] defendet die 21. junii 1776. [...] reverendus dominus D. Gerardus Matthæus Querin insignis ecclesiæ collegiatæ divi Pauli Leodii canonicus. Leodius.","leodius",392
"9989061680101488","Quas conclusiones pro adipiscendo J.U. licentiæ gradu, præside [...] D. Dominico Josepho Hyacintho Nelis [...] in publico jurium auditorio oppugnandas proponit die 2. julii 1776. [...] reverendus dominus D. Gerardus Matthæus Querin insignis ecclesiæ collegiatæ divi Pauli Leodii canonicus, Leodius.","leodius",392
"9989062350101488","Quas conclusiones pro adipiscendo J.U. licentiæ gradu, præside [...] D. Henrico Goessens [...] in publico jurium auditorio oppugnandas proponit die 23. augusti 1776. Hubertus Josephus Flament Perwanus.","perwanus",6646
"9991647990101488","Præside [...] Joanne Josepho Guyaux [...] defendet Lambertus Sebastianus Verborgh Leodius.","leodius",392
"9991655450101488","Præside [...] Andrea Henckhuysen [...] defendet Foillanus Josephus Willam, Castiletanus.","castiletanus",2244
"9991656660101488","Præside [...] Natale du Bois [...] defendet Joannes Baptista van Schorrenbergh Amstelodamus.","amstelodamus",17
"9991814140101488","Præside [...] Natale du Bois [...] defendet Joannes Guilielmus Posswyck Leodius.","leodius",392
"9991815480101488","Præside [...] Andrea Henckhuysen [...] defendet Carolus van Beurden Lugduno-Batavus.","lugdunobatavus",5004
